"ifam","zygosity_2G","sex_2","sex_1","predicted_emotional11r_2","predicted_emotional13r_2","EMPQ_emotional11r_2","EMPQ_emotional13r_2","predicted_cognitive11r_2","predicted_cognitive13r_2","EMPQ_cognitive11r_2","EMPQ_cognitive13r_2","predicted_emotional11r_1","predicted_emotional13r_1","EMPQ_emotional11r_1","EMPQ_emotional13r_1","predicted_cognitive11r_1","predicted_cognitive13r_1","EMPQ_cognitive11r_1","EMPQ_cognitive13r_1"
"gp6562","DZ",2,2,0.0773432053413206,0.634448819009615,0.263261886902441,0.208938245922726,0.106231913182013,0.0684435246184503,-0.0314117950861803,-0.15115891055,-0.153430161705039,-0.157050311221585,0.172352795902441,-0.245607208077274,-0.0939743545885971,-0.42620482643923,-0.14252290608618,0.0988410894499999
"gp6584","DZ",1,1,-0.125742750254255,NA,-0.148429932046347,NA,-0.00771282290831062,NA,-0.127254335846701,NA,-0.254783586147565,-0.168637520349534,0.306115521953653,-0.313638352081365,0.0448664865062493,-0.343868024989626,0.428301219153299,-0.944871474393701
"gp6606","DZ",2,2,NA,0.00939547952353526,NA,0.118029154922726,NA,0.10772887889069,NA,-0.15115891055,NA,0.170506049055455,NA,0.754392791922727,NA,0.12895440037603,NA,0.40439664545
"gp6621","DZ",1,1,-0.104214674050965,NA,0.124297340953653,NA,-0.11421793664345,NA,0.206078997153299,NA,0.0367169390918555,NA,-0.602975387046347,NA,-0.104535710989741,NA,0.094967886153299,NA
"gp6632","DZ",1,1,-0.0456966098804649,NA,0.0333882499536528,NA,0.192159717266859,NA,0.206078997153299,NA,0.0496134981363453,NA,-0.148429932046347,NA,0.124276146389559,NA,0.317190108153299,NA
"gp6665","DZ",1,2,-0.242512997813985,NA,-0.239339023046347,NA,0.0568314513124192,NA,-0.571698780846701,NA,0.330575452308061,NA,0.172352795902441,NA,0.327464885741813,NA,0.96858820491382,NA
"gp6676","DZ",1,2,-0.220469078737425,NA,-0.512066296046347,NA,-0.0939285508149004,NA,-0.793921002846701,NA,-0.355106590442959,NA,-1.00946538509756,NA,-0.338217809931917,NA,-0.58696735108618,NA
"gp6702","DZ",2,2,0.149623438837451,0.036534535848595,0.626898250902442,0.299847336922727,0.125965494961653,0.0483143496975096,0.19081042691382,-0.26227002155,0.0111133101190604,NA,0.717807341902441,NA,0.240074623788563,NA,0.84358820491382,NA
"gp6750","DZ",2,1,0.325892071400401,NA,1.35417097790244,NA,0.327453923671043,NA,0.85747709391382,NA,0.0762707903880354,NA,0.397024612953653,NA,-0.257765396342501,NA,-0.349476557846701,NA
"gp6761","DZ",2,2,0.0924870435126406,NA,-0.282192658097558,NA,0.0864054446246929,NA,-0.14252290608618,NA,0.109376565011171,NA,0.0814437049024416,NA,0.251908871107183,NA,0.85747709391382,NA
