ifam,ID,zygosity,sex
bd1270,4,2,2
bd1281,1,2,2
bd1281,4,2,2
bd1292,1,2,2
bd1292,4,2,2
bd1303,1,3,1
bd1303,4,3,2
bd1314,1,2,1
bd1314,4,2,1
bd1325,1,3,1
bd1325,4,3,2
bd1336,1,1,1
bd1336,4,1,1
bd1340,1,1,1
bd1340,4,1,1
bd1351,1,3,1
bd1351,4,3,2
bd1362,1,2,2
bd1362,4,2,2
bd1373,1,1,2
bd1373,4,1,2
bd1384,1,2,2
bd1384,4,2,2
bd1395,1,3,1
bd1395,4,3,2
bd1406,1,1,2
bd1406,4,1,2
bd1410,1,1,1
bd1410,4,1,1
bd1421,1,1,2
bd1421,4,1,2
bd1432,1,3,1
bd1432,4,3,2
bd1443,1,3,2
bd1443,4,3,1
bd1454,1,1,1
bd1454,4,1,1
bd1465,1,3,1
bd1465,4,3,2
bd1476,1,3,1
bd1476,4,3,2
bd1480,1,2,1
bd1480,4,2,1
bd1491,1,2,1
bd1491,4,2,1
bd1502,1,2,2
bd1502,4,2,2
bd1513,1,2,1
bd1513,4,2,1
bd1524,1,1,2
bd1524,4,1,2
bd1535,1,2,2
bd1535,4,2,2
bd1546,1,2,1
bd1546,4,2,1
bd1550,1,2,1
bd1550,4,2,1
bd1561,1,2,2
bd1561,4,2,2
bd1572,1,1,1
bd1572,4,1,1
bd1583,1,3,2
bd1583,4,3,1
bd1594,1,2,2
bd1594,4,2,2
bd1605,1,1,2
bd1605,4,1,2
bd1616,1,3,2
bd1616,4,3,1
bd1620,1,3,1
bd1620,4,3,2
bd1631,1,2,1
bd1631,4,2,1
bd1642,1,1,1
bd1642,4,1,1
bd1653,1,2,2
bd1653,4,2,2
bd1664,1,3,1
bd1664,4,3,2
bd1675,1,1,2
bd1675,4,1,2
bd1686,1,3,2
bd1686,4,3,1
bd1690,1,1,1
bd1690,4,1,1
bd1701,1,1,2
bd1701,4,1,2
bd1712,1,2,2
bd1712,4,2,2
bd1723,1,3,1
bd1723,4,3,2
bd1734,1,2,1
bd1734,4,2,1
bd1745,1,2,2
bd1745,4,2,2
bd1756,1,1,1
bd1756,4,1,1
bd1760,1,3,2
bd1760,4,3,1
bd1771,1,1,1
bd1771,4,1,1
bd1782,1,2,1
bd1782,4,2,1
bd1793,1,2,2
bd1793,4,2,2
bd1804,1,2,2
bd1804,4,2,2
bd1815,1,1,1
bd1815,4,1,1
bd1826,1,1,2
bd1826,4,1,2
bd1830,1,1,2
bd1830,4,1,2
bd1841,1,2,2
bd1841,4,2,2
bd1852,1,1,2
bd1852,4,1,2
bd1863,1,2,1
bd1863,4,2,1
bd1874,1,3,1
bd1874,4,3,2
bd1885,1,2,2
bd1885,4,2,2
bd1896,1,2,2
bd1896,4,2,2
bd1900,1,1,1
bd1900,4,1,1
bd1911,1,2,1
bd1911,4,2,1
bd1922,1,2,2
bd1922,4,2,2
bd1933,1,1,2
bd1933,4,1,2
bd1944,1,2,2
bd1944,4,2,2
ga0004,1,3,1
ga0004,4,3,2
ga0015,1,3,2
ga0015,4,3,1
ga0026,1,1,1
ga0026,4,1,1
ga0030,1,3,2
ga0030,4,3,1
ga0041,1,3,1
ga0041,4,3,2
ga0052,1,2,1
ga0052,4,2,1
ga0063,1,2,2
ga0063,4,2,2
ga0074,1,3,2
ga0074,4,3,1
ga0085,1,2,1
ga0085,4,2,1
ga0096,1,1,2
ga0096,4,1,2
ga0100,1,1,1
ga0100,4,1,1
ga0111,1,2,1
ga0111,4,2,1
ga0122,1,2,2
ga0122,4,2,2
ga0133,1,2,2
ga0133,4,2,2
ga0144,1,2,2
ga0144,4,2,2
ga0155,1,2,2
ga0155,4,2,2
ga0166,1,3,1
ga0166,4,3,2
ga0170,1,3,1
ga0170,4,3,2
ga0181,1,2,2
ga0181,4,2,2
ga0192,1,3,2
ga0192,4,3,1
ga0203,1,1,2
ga0203,4,1,2
ga0214,1,1,2
ga0214,4,1,2
ga0225,1,2,1
ga0225,4,2,1
ga0236,1,3,2
ga0236,4,3,1
ga0240,1,2,1
ga0240,4,2,1
ga0251,1,3,1
ga0251,4,3,2
ga0262,1,3,1
ga0262,4,3,2
ga0273,1,2,2
ga0273,4,2,2
ga0284,1,3,1
ga0284,4,3,2
ga0295,1,2,2
ga0295,4,2,2
ga0306,1,2,1
ga0306,4,2,1
ga0310,1,2,1
ga0310,4,2,1
ga0321,1,2,1
ga0321,4,2,1
ga0332,1,1,2
ga0332,4,1,2
ga0343,1,2,2
ga0343,4,2,2
ga0354,1,3,2
ga0354,4,3,1
ga0365,1,3,2
ga0365,4,3,1
ga0376,1,2,1
ga0376,4,2,1
ga0380,1,3,1
ga0380,4,3,2
ga0391,1,2,2
ga0391,4,2,2
ga0402,1,2,1
ga0402,4,2,1
ga0413,1,3,2
ga0413,4,3,1
ga0424,1,2,1
ga0424,4,2,1
ga0435,1,2,1
ga0435,4,2,1
ga0450,1,3,2
ga0450,4,3,1
ga0461,1,1,1
ga0461,4,1,1
ga0472,1,3,2
ga0472,4,3,1
ga0483,1,2,1
ga0483,4,2,1
ga0494,1,3,2
ga0494,4,3,1
ga0505,1,3,2
ga0505,4,3,1
ga0516,1,3,1
ga0516,4,3,2
ga0520,1,3,2
ga0520,4,3,1
ga0531,1,1,2
ga0531,4,1,2
ga0542,1,3,2
ga0542,4,3,1
ga0553,1,1,2
ga0553,4,1,2
ga0564,1,3,1
ga0564,4,3,2
ga0575,1,2,1
ga0575,4,2,1
ga0586,1,1,2
ga0586,4,1,2
ga0590,1,1,1
ga0590,4,1,1
ga0612,1,3,2
ga0612,4,3,1
ga0623,1,2,2
ga0623,4,2,2
ga0634,1,3,2
ga0634,4,3,1
ga0645,1,3,1
ga0645,4,3,2
ga0656,1,2,1
ga0656,4,2,1
ga0660,1,1,2
ga0660,4,1,2
ga0671,1,3,2
ga0671,4,3,1
ga0682,1,2,2
ga0682,4,2,2
ga0704,1,3,1
ga0704,4,3,2
ga0715,1,1,1
ga0715,4,1,1
ga0730,1,2,2
ga0730,4,2,2
ga0741,1,3,2
ga0741,4,3,1
ga0752,1,3,2
ga0752,4,3,1
ga0763,1,3,1
ga0763,4,3,2
ga0774,1,3,2
ga0774,4,3,1
ga0785,1,2,2
ga0785,4,2,2
ga0796,1,2,1
ga0796,4,2,1
ga0811,1,1,1
ga0811,4,1,1
ga0822,1,2,1
ga0822,4,2,1
ga0833,1,3,2
ga0833,4,3,1
ga0844,1,2,2
ga0844,4,2,2
ga0855,1,2,1
ga0855,4,2,1
ga0866,1,3,1
ga0866,4,3,2
ga0870,1,2,1
ga0870,4,2,1
ga0881,1,3,1
ga0881,4,3,2
ga0892,1,1,1
ga0892,4,1,1
ga0903,1,2,2
ga0903,4,2,2
ga0914,1,2,1
ga0914,4,2,1
ga0925,1,2,1
ga0925,4,2,1
ga0936,1,3,2
ga0936,4,3,1
ga0940,1,1,2
ga0940,4,1,2
ga0951,1,2,1
ga0951,4,2,1
ga0962,1,2,1
ga0962,4,2,1
ga0973,1,1,2
ga0973,4,1,2
ga0984,1,2,2
ga0984,4,2,2
gd1006,1,3,2
gd1006,4,3,1
gd1010,1,2,2
gd1010,4,2,2
gd1021,1,1,1
gd1021,4,1,1
gd1032,1,3,2
gd1032,4,3,1
gd1043,1,1,2
gd1043,4,1,2
gd1065,1,3,1
gd1065,4,3,2
gd1076,1,3,2
gd1076,4,3,1
gd1080,1,3,1
gd1080,4,3,2
gd1091,1,3,2
gd1091,4,3,1
gd1102,1,2,1
gd1102,4,2,1
gd1113,1,2,2
gd1113,4,2,2
gd1124,1,3,2
gd1124,4,3,1
gd1146,1,2,1
gd1146,4,2,1
gd1150,1,2,1
gd1150,4,2,1
gd1161,1,2,2
gd1161,4,2,2
gd1172,1,1,2
gd1172,4,1,2
gd1194,1,3,1
gd1194,4,3,2
gd1205,1,1,1
gd1205,4,1,1
gd1220,1,2,2
gd1220,4,2,2
gd1231,1,3,2
gd1231,4,3,1
gd1242,1,2,1
gd1242,4,2,1
gd1253,1,2,1
gd1253,4,2,1
gd1264,1,2,1
gd1264,4,2,1
gd1290,1,1,1
gd1290,4,1,1
gd1301,1,3,2
gd1301,4,3,1
gd1334,1,3,1
gd1334,4,3,2
gd1356,1,3,2
gd1356,4,3,1
gd1360,1,2,1
gd1360,4,2,1
gd1371,1,3,2
gd1371,4,3,1
gd1382,1,1,1
gd1382,4,1,1
gd1393,1,3,2
gd1393,4,3,1
gd1404,1,3,1
gd1404,4,3,2
gd1415,1,3,1
gd1415,4,3,2
gd1426,1,1,1
gd1426,4,1,1
gd1430,1,3,1
gd1430,4,3,2
gd1441,1,1,2
gd1441,4,1,2
gd1452,1,2,1
gd1452,4,2,1
gd1463,1,1,2
gd1463,4,1,2
gd1474,1,1,2
gd1474,4,1,2
gd1485,1,2,2
gd1485,4,2,2
gd1496,1,3,1
gd1496,4,3,2
gd1500,1,2,1
gd1500,4,2,1
gd1511,1,1,1
gd1511,4,1,1
gd1522,1,1,1
gd1522,4,1,1
gd1533,1,2,2
gd1533,4,2,2
gd1544,1,3,2
gd1544,4,3,1
gd1555,1,2,1
gd1555,4,2,1
gd1566,1,3,2
gd1566,4,3,1
gd1570,1,2,2
gd1570,4,2,2
gd1581,1,3,2
gd1581,4,3,1
gd1592,1,3,1
gd1592,4,3,2
gd1614,1,1,1
gd1614,4,1,1
gd1625,1,2,2
gd1625,4,2,2
gd1636,1,2,1
gd1636,4,2,1
gd1651,1,3,1
gd1651,4,3,2
gd1673,1,1,1
gd1673,4,1,1
gd1684,1,3,1
gd1684,4,3,2
gd1695,1,2,2
gd1695,4,2,2
gd1706,1,3,1
gd1706,4,3,2
gd1710,1,2,2
gd1710,4,2,2
gd1721,1,1,2
gd1721,4,1,2
gd1732,1,2,1
gd1732,4,2,1
gd1743,1,2,2
gd1743,4,2,2
gd1754,1,1,2
gd1754,4,1,2
gd1765,1,2,1
gd1765,4,2,1
gd1776,1,2,1
gd1776,4,2,1
gd1780,1,3,1
gd1780,4,3,2
gd1802,1,3,2
gd1802,4,3,1
gd1813,1,2,2
gd1813,4,2,2
gd1824,1,3,1
gd1824,4,3,2
gd1835,1,3,2
gd1835,4,3,1
gd1846,1,3,1
gd1846,4,3,2
gd1861,1, ,2
gd1861,4, ,2
gd1872,1,3,2
gd1872,4,3,1
gd1894,1,1,2
gd1894,4,1,2
gd1905,1,2,2
gd1905,4,2,2
gd1916,1,3,1
gd1916,4,3,2
gd1920,1,2,2
gd1920,4,2,2
gd1931,1,3,1
gd1931,4,3,2
gd1942,1,2,2
gd1942,4,2,2
gd1953,1,3,1
gd1953,4,3,2
gd1964,1,1,2
gd1964,4,1,2
gd1975,1,3,1
gd1975,4,3,2
gd1986,1,1,2
gd1986,4,1,2
gd1990,1,3,1
gd1990,4,3,2
gf2001,1,2,2
gf2001,4,2,2
gf2012,1,2,1
gf2012,4,2,1
gf2023,1,2,2
gf2023,4,2,2
gf2034,1,2,2
gf2034,4,2,2
gf2045,1,3,2
gf2045,4,3,1
gf2056,1,2,2
gf2056,4,2,2
gf2060,1,2,1
gf2060,4,2,1
gf2071,1,1,1
gf2071,4,1,1
gf2082,1,2,2
gf2082,4,2,2
gf2093,1,3,1
gf2093,4,3,2
gf2115,1,3,1
gf2115,4,3,2
gf2130,1,3,1
gf2130,4,3,2
gf2141,1,3,2
gf2141,4,3,1
gf2152,1,3,2
gf2152,4,3,1
gf2163,1,2,1
gf2163,4,2,1
gf2174,1,3,2
gf2174,4,3,1
gf2185,1,2,1
gf2185,4,2,1
gf2196,1,3,2
gf2196,4,3,1
gf2200,1,3,1
gf2200,4,3,2
gf2211,1,2,2
gf2211,4,2,2
gf2222,1,3,2
gf2222,4,3,1
gf2233,1,3,1
gf2233,4,3,2
gf2244,1,3,1
gf2244,4,3,2
gf2255,1,3,1
gf2255,4,3,2
gf2266,1,3,1
gf2266,4,3,2
gf2270,1,1,1
gf2270,4,1,1
gf2281,1,2,1
