ifam,ID,OnlineManual13,isOut,whyOut,sex,zygosity,tn_BFI1,tn_BFI2,tn_BFI3,tn_BFI4,tn_BFI5,tn_BFI6,tn_BFI7,tn_BFI8,tn_BFI9,tn_BFI10,tn_BFI11,tn_BFI12,tn_BFI13,tn_BFI14,tn_BFI15,tn_BFI16,tn_BFI17,tn_BFI18,tn_BFI19,tn_BFI20,tn_BFI21,tn_BFI22,tn_BFI23,tn_BFI24,tn_BFI25,tn_BFI26,tn_BFI27,tn_BFI28,tn_BFI29,tn_BFI30,tn_BFI31,tn_BFI32,tn_BFI33,tn_BFI34,tn_BFI35,tn_BFI36,tn_BFI37,tn_BFI38,tn_BFI39,tn_BFI40,tn_BFI41,tn_BFI42,tn_BFI43,tn_BFI44,EMPQ_emotional,EMPQ_cognitive
2021,1,0,0, ,2,1,3,3,4,1,5,2,4,5,5,5,5,4,5,5,4,4,3,5,2,5,1,4,3,4,5,5,1,4,2,3,1,3,4,4,2,3,5,3,5,5,2,3,2,4,2.545454545,4.555555556
2021,4,0,0, ,2,1,4,3,4,1, ,1,3,4,4,5,5,4,3,1,4,3,1,5,1,4,1,4,4,5,4,5,3,4,1,3,1,3,4,5,3,3,4,3,5,3,4,3,4,3,2.454545455,4
2025,1,0,0, ,1,2,3,4,5,1,5,4,4,5,4,5,4,1,5,3,5,4,4,1,5,5,4,5,1,4,4,4,2,5,3,2,1,4,5,4,3,5,2,3,2,4,2,2,4,1,4,4.111111111
2025,4,0,0, ,1,2,4,2,3,3,4,3,4,4,2,4,4,3,3,5,3,3,3,3,3,4,2,3,3,3,4,3,3,3,3,3,4,3,3,2,4,4,3,3,4,4,4,3,3,3,3.090909091,3.777777778
2029,1,0,0, ,2,2,4,1,4,1,5,5,5,3,4,4,5,1,5,2,4,5,4,2,1,5,3,4,1,4,5,4,1,4,3,4,2,5,5,4,3,5,1,4,1,4,5,5,2,4,3.363636364,4.25
2029,4,0,0, ,2,2,4,2,4,1,4,4,4,2,5,5,5,1,4,2,4,4,5,3,2,3,2,5,2,3,4,4,1,5,1,4,2,4,4,4,3,5,2,3,4,4,2,5,3,4,4.090909091,4.111111111
2031,1,0,0, ,1,3,3,3,3,1,3,2,3,3,3,5,4,2,4,3,3,2,3,3,3,2,2,4,2,3,3,3,3,2,3,2,3,4,4,3,3,4,3,3,2,2,3,3,3,3,2.454545455,3.25
2031,4,0,0, ,2,3,4,3,3,3,4,2,4,4,4,4,4,3,4,1,3,3,2,2,2,2,2,2,3,3,3,3,3,2,4,1,2,2, ,3,1,4,3,3,4,3,2,3,3,5,2.8,4
2035,1,0,0, ,2,2,4,2,4,1,4,3,4,4,2,4,4,2,4,4,4,3,4,2,4,4,2,4,3,1,4,2,2,3,2,4,2,2,3,1,3,4,2,2,4,4,1,3,5,5,3.727272727,3.555555556
2035,4,0,0, ,2,2,3,2,4,2,3,4,4,4,3,4,3,2,4,5,3,3,3,2,4,3,4,3,3,3,3,2,4,4,4,4,5,3,4,2,4,3,3,3,3,4,2,3,2,4,3.818181818,4
2041,1,0,0, ,1,3,2,4,3,1,4,4,5,2,4,5,5,1,3,3,5,3,5,2,5,5,3,2,3,2,2,2,1,4,4,5,4,4,3,4,2,5,4,2,1,4,2,4,2,4,3.818181818,4.555555556
2041,4,0,0, ,2,3,4,4,1,1,4,3,3,4,5,4,5,2,4,1,2,3,3,5,1,3,3,4,3,3,4, ,1,3,3,4,1,3,3,4,2,5,3,2,4,4,2,4,4,1,3.363636364,4
2043,1,0,0, ,2,2,5,5,4,2,5,5,4,3,5,4,4,1,5,2,5,5,4,1,2,5,4,4,2,5,4,2,4,5,2,5,5,5,5,5,3,4,1,5,1,5,1,5,5,5,3.272727273,4.111111111
2043,4,0,0, ,2,2,5,4,4,1,5,4,5,2,4,4,4,1,5,4,4,3,5,4,4,5,4,5,3,5,5,5,1,3,1,5,4,4,3,4,3,5,2,3,2,4,1,4,4,5,3.181818182,3.888888889
2045,1,0,0, ,1,1,3,2,2,1,2,3,5,3,2,4,3,2,3,4,3,4,4,4,4,4,3,4,3,3,3,4,1,3,3,3,4,4,3,2,2,5,4,4,4,3,3,4,3,2,3.909090909,3.777777778
2045,4,0,0, ,1,1,3,2,2,2,2,4,5,2,2,5,4,4,4,4,3,4,4,4,5,3,2,4,3,2,3,5,2,2,3,4,4,5,3,2,4,5,4,4,4,3,1,4,4,3,3,3.777777778
2059,1,0,0, ,2,3,5,3,4,1,5,4,4,4,2,5,5,1,4,5,4,4,4,5,4,4,3,4,4,2,5,4,4,3,3,2,4,5,2,2,2,4,3,2,4,4,2,2,5,5,4.363636364,4.888888889
2061,1,0,0, ,2,2,5,2,3,1,5,3,4,3,5,5,3,1,4,3,4,4,5,3,3,5,2,4,2,4,5,2,2,3,1,4,2,4,4,5,3,4,2,2,1,4,2,5,3,4,3.545454545,4.111111111
2061,4,0,0, ,2,2,4,4,4,3,4,3,4,1,2,5,4,3,5,5,3,4,2,1,5,3,1,5,2,2,2,5,3,4,4,5,2,5,4,2,4,4,4,4,4,4,5,4,3,4,4,4.555555556
2067,1,0,0, ,1,1,4,4,5,1,4,5,5,1,4,4,5,1,5,4,4,4,4,1,4,4,4,4,1,4,4,4,3,4,4,4,3,4,4,4,4,5,1,4,2,4,4,4,3,5,3.545454545,4.111111111
2067,4,0,0, ,1,1,3,3,5,3,4,3,4,2,3,2,5,3,4,2,5,5,5,3,5,5,4,2,3,2,5,3,3,4,3,4,2,4,4,3,4,2,4,3,3,4,2,4,3,3,3.272727273,3.555555556
2069,1,0,0, ,2,1,4,4,3,2,4,3,5,4,1,5,5,2,4,5,5,5,3,4,4,3,2,3,4,4,3,4,1,4,2,3,2,3,2,1,4,5,2,2,4,5,4,4,2,2,3.727272727,3.777777778
2069,4,0,0, ,2,1,4,1,5,1,3,2,5,4,1,4,5,1,2,5,3,3,3,4,4,4,2,4,4,3,2,5,1,4,1,3,3,5,4,1,3,2,1,2,1,4,2,4,1,2,3.272727273,4.444444444
2071,1,0,0, ,1,1,1,2,3,2,3,3,3,2,4,5,3,1,4,2,3,3,4,5,2,5,5,4,2,3,4,4,3,3,2,2,2,3,4,4,4,4,3,2,3,4,2,4,2,2,2.545454545,3.666666667
2071,4,0,0, ,1,1,4,2,3,1,3,3,4,2,4,4,4,2,4,4,3,3,4,2,2,5,2,2,2,3,4,4,2,3,2,3,3,3,4,3,3,4,3,3,2,3,3,4,4,2,3,3
2075,1,0,0, ,1,2,3,4,4,1,3,3,4,4,3,5,5,1,4,3,4,4,2,2,1,5,4,3,5,5,3,5,3,4,3,4,3,3,3,5,3,5,5,4,5,5,3,4,1,3,2.818181818,3.222222222
2077,1,0,0, ,1,2,4,2,2,1,1,5, ,3,5,2,2,2,4,4,4,5,5,4,2,3,3,4,5,5,2,4,1,2,1,2,2,5,2,4,3,5,2,3,2,4,5,4,4,1,3.181818182,4.111111111
2077,4,0,0, ,1,2,3,2,5,3,4,3,4,2,4,5,5,2,4,2,5,3,3,1,3,5,3,4,2,4,4,3,2,5,3,4,3,4,4,4,3,4,3,4,2,3,3,4,2,4,2.909090909,3.666666667
2081,1,0,0, ,2,2,3,2,3,1,3,4,4,2,4,4,3,2,5,4,4,3,4,2,4,5,3,2,3,3,2,3,4,4,2,3,4,4,4,2,3,4,2,4,2,3,3,4,2,2,3.181818182,4.222222222
2081,4,0,0, ,2,2,3,3,5,1,3,2,5,3,1,3,3,3,5,4,4,3,2,4,5,3,1,3,2,3,3,5,3,4,2,2,3,4,4,1,4,4,4,4,5,3,3,4,1,3,3.636363636,4.111111111
2085,1,2,0, ,1,3,4,1,5,1,2,3,3,1,4,5,3, ,5,5,4,1,1,1,3,3,1,5,1,4,2,5,1,5,4,5,4,5,5,2,2,5,4,2,5,4,4,5,2,1,4.111111111,4.111111111
2085,4,2,0, ,2,3,4,2,4,1,4,2,4,3,3,5,4,2,3,2,4,4,3,3,1,5,2,3,3,2,4,4,2,3,2,5,2,4,3,4,1,5,2,3,1,5,5,1,2,5,3.8,4.444444444
2087,1,0,0, ,1,2,3,2,3,1,4,5,4,3,3,4,4,2,4,3,4,4,3,5,2,5,4,4,3,4,4,4,3,3,2,4,4,4,4,3,3,4,3,3,1,5,4,4,4,2,3.363636364,3.666666667
2087,4,0,0, ,1,2,3,2,5,1,4,4,4,4,3,4,4,3,4,4,4,4,5,3,3,4,3,4,1,4,4,4,2,5,2,3,4,4,5,3,4,4,3,5,4,2,1,5,3,3,3.727272727,4
2099,1,0,0, ,2,3,4,2,5,1,5,3,5,2,4,5,5,2,5,4,4,4,4,2,2,5,2,4,3,4,4,4,2,4,1,5,2,5,4,3,4,5,2,4,2,4,1,5,2,5,3.727272727,4.111111111
2099,4,0,0, ,1,3,5,4,5,2,5,4,5,1,2,5,5,1,5,4,5,5,4,4,4,5,3,5,4,1,5,5,2,4,4,4,4,5,5,2,1,5,3,4,3,5,3,3,2,4,3.818181818,4.777777778
2101,1,0,0, ,1,3,4,3,4,2,4,2,4, ,4,5,2,3,4,3,4,3,4,4,3,5,3,4,3,3,4,5,4,4,3,3,1,4,3,4,3,3,4,4,4,4,4,4,3,4,3.818181818,4.444444444
2101,4,0,0, ,2,3,2,2,4,2,4,3,4,4,3,4,3,3,5,4,5,4,3,4,3,5,4,4,2,3,4,5,2,5,3,4,5,5,4,3,3,2,2,3,3,5,1,2,2,5,4.181818182,4
2107,1,0,0, ,2,2,3,5,5,4,3,2,4,1,3,4,4,3,3,3,2,3,5,1,5,3,3,1,2,5,3,3,4,3,5,5,3,5,4,1,3,3,2,3,5,3,4,1,4,3,2.727272727,3.222222222
2131,1,0,0, ,1,3,5,2,4,1,5,3,4,2,5,5,3,2,5,2,5,4,4,2,2,4,1,2,3,4,3,5,3,3,2,4,2,3,3,5,4,3,4,3,5,4,2,4,2,2,2.272727273,4.222222222
2131,4,0,0, ,2,3,5,4,5,1,5,1,5,1,1,5,5,3,5,3,5,5,4,2,4,4,1,5,2,2,4,4,1,5,4,4,2,4,5,1,5,5, ,4,5,3,2,4,2,5,3.727272727,4.444444444
2133,1,2,0, ,1,3, ,2,3,1,4,1,5,3,2,4,5,1,5,2,4,3,5,3,4,2,1,5,4,4,4,4,1,5,3,4,2,5,4,3,3,5,2,4,2,4,3,4,2,5,3.8,3.777777778
2133,4,2,0, ,2,3,2,1,4,1,3,1,5,3,2,4,3,2,5,5,3,3,2,1,5,4,2,4,1,1,4,4,2,4,4,4,2,4,4,2,5,5,1,4,3,4,4,4,2,2,4.1,4.222222222
2135,1,2,0, ,2,1,3,2,4,2,4,4,5,3,4,3,4,2,4,3,3,4, ,1,4,4,4,3,2,4,4,3, ,4,4,4,3,4,4,4,4,5,2,4,3,4, ,5, , ,3.181818182,3.888888889
2135,4,2,0, ,2,1,2,4,5,3,4,3,4,4,2,5,5,4,2,2,3,4,4,1,4,3,3,3,2,4,4,2, ,4,2,4,3, ,4,2,2,5,2,4,3,4,4,5, ,3,2.454545455,3.666666667
2149,4,2,0, ,2,3,5,4,3,3,5,4,5,4,2,5,5,3,5,5,4,4,3,2,5,5,1,5,3,3,5,5,3, ,4,5,3,4,5,2,1,5,3,4,3,5,5,4,5,5,4.181818182,4.222222222
2151,1,2,0, ,2,1,4,3,2,3,4,1,3,4,2,5,5,2,4,5,4,4,5,3,5,5,1,3,1,3,4,5,4,3,5,1,1,4,3,1,5,5,2,4,2,5,1,3,5,5,4.6,4.111111111
2153,1,0,0, ,2,1,4,2,2,1,3,2,3,4,2,4,4,2,4,4,3,3,4,4,3,4,2,3, ,2,3,3, ,4,2,3,2,3,4,2,3,4,3,4,3,4,4,4,3,2,3.636363636,3.666666667
2153,4,0,0, ,2,1,4,4,4,2,3,2,4,2,2,4,4,4,4,4,3,4,2,4,4,5,1,4,4,2,3,4,2,4,4,4,3,3,4,2,2,4,4,3,5,4,2,4,5,2,3.545454545,4
2163,1,0,0, ,2,2,4,2,3,1,3,3,3,4,3,3,2,3,2,4,3,3,3,4,3,1,2,3,5,3,3,4,2,4,3,1,3,3,3,4,1,3,3,3,4,4,3,3,2,2,2.272727273,3.222222222
2163,4,0,0, ,2,2,5,3,4,3,4,3,4,4,1,5,4,3,5,5,4,4,4,1,5,5,1,5,3,2,4,3,3,5,4,4,4,4,4,2,3,5,4,2,4,4,5,4,2,3,4.181818182,3.888888889
2165,1,0,0, ,1,2,4,1,1,1,1,5,3,3,5,2,1,1,2,1,1,4,3,1,1,5,5,3,5,4,1,5,3,2,3,2,3,4,4,4,3,3,1,3,2,3,5,4,3,1,2.454545455,4.666666667
2167,1,0,0, ,1,2,5,2,3,1,5,3,4,2,3,5,5,2,4,2,4,4,4,2,1,5,1,4,2,3,5,4,2,5,3,5,1,4,4,3,2,4,2,4,2,5,1,4,3,4,3.181818182,4.333333333
2169,1,0,0, ,1,2,5,3,4,1,4,2,4,3,4,5,4,4,5,1,5,4,5,3,4,2,1,3,2,2,4,5,3,4,4,5,1,5,5,5,5,5,4,4,4,3,4,4,1,5,3.545454545,4.666666667
2169,4,0,0, ,1,2,3,2,4,1,4,2,4,4,3,3,4,1,4,2,3,3,4,4,4,3,3,4,3,4,5,3,2,3,2,4,3,4,3,5,2,4,3,3,1,4,1,4,4,5,3.545454545,4.333333333
2173,1,0,0, ,2,2,1,5,2,4,2,4,1,2,1,2,1,4,2,5,2,1,1,2,5,2,4,1,4,4,2,2,5,2,5,4,4,2,2,2,5,1,4,2,4,2,4,2,2,2,2.545454545,3.111111111
2173,4,0,0, ,2,2,3,3,4,1,4,2,5,1,4,4,4,1,4,3,4,3,5,2,2,5,2,4,1,2,3,4,1,3,1,5,2,5,4,3,2,4,1,3,2,5,5,4,2,5,3.636363636,4.555555556
2175,1,0,0, ,2,3,5,2,3,1,4,4,4,4,4,4,5,2,4,4,2,4,5,4,2,3,1,5,4,1,4,5,2,2,4,4,1,4,3,2,2,5,2,4,1,2,2,5,5,4,4.090909091,4.333333333
2175,4,0,0, ,1,3,4,2,5,2,4,4,4,5,4,5,5,2,4,4,5,4,4,1,4,4,3,4,5,4,4,4,4,5,4,4,4,4,4,3,4,4,4,5,3,4,5,4,4,5,3.545454545,4
2179,1,0,0, ,2,2,5,3,4,1,4,4,5,5,5,5,5,1,5,4,5,4,5,2,4,4,1,4,2,3,4,2,1,5,1,4,2,4,4,4,4,4,2,4,2,4,1,5,5,5,3.909090909,4.888888889
2179,4,0,0, ,2,2,5,2,4,1,4,4,4,4,4,5,5,3,4,3,5,5,4,5,2,5,2,4,4,2,4,5,1,4,1,2,2,4,4,3,2,5,2,3,5,4,1,4,1,2,4.090909091,4.777777778
2183,1,0,0, ,2,2,5,3,3,1,3,4,5,1,4,4,5,3,4,5,3,4,4,5,4,4,1,5,2,4,4,5,1,4,2,5,3,4,3,4,1,5,3,4,2,2,2,5,4,3,3.545454545,4.444444444
2183,4,0,0, ,2,2,4,1,4,1,4,4,5,4,3,5,5,1,5,4,5,3,5,3,5,5,4,4,3,4,4,4,3,5,4,5,4,5,4,3,2,4,1,5,2,5,2,5,1,4,3.181818182,4.666666667
2191,4,0,0, ,2,2,3,1,4,1,4,2,5,1,3,5,5,3,5,2,4,4,3,4,3,4,1,4,4,4,4,5,1,4,1,2,1,5,4,3,4,5,4,5,5,3,3,5,5,2,4.363636364,4.888888889
2193,1,0,0, ,1,3,5,2,2,1,4,1,5,4,3,4,4,4,4,2,4,5,3,5,4,4,2,4,3,2,2,2,1,3,2,2,4,5,3,3,2,5,2,3,4,2,4,4,4,2,4,4.333333333
2193,4,0,0, ,2,3,4,2,4,1,4,3,5,3,4,5,4,2,5,4,4,2,4,2,4,4,2,4,3,3,4,5,1,4,1,3,3,5,4,4,4,5,2,4,3,5,4,5,1,3,3.181818182,3.777777778
2197,1,0,0, ,1,3,4,1,4,1,5,1,5,5,5,5,5,1,5,1,5,5,5,1,1,5,1,1,1,1,5,5,1,5,1,3,1,5,5,5,1,5,1,5,1,3,1,5,5,3,3.181818182,4.5
2199,4,0,0, ,1,1,4,2,3,2,4,3,4,4,3,4,4,3,4,3,4,3,4,3,4,5,3,3,3,2,4,3,2,3,3,4,4,4,4,3,3,4,3,3,4,3,2,4,4,4,2.909090909,3.333333333
2205,1,0,0, ,2,2,2,1,5,2,4,5,4,3,4,4,2,3,5,4,5,3,2,2,2,4,3,4,2,4,5,5,2,5,4,5,4,4,5,3,4,3,4,4,4,4,2,4,1,4,3.636363636,3.777777778
2205,4,0,0, ,2,2,4,3,5,1,4,5,5,1,5,5,5,1,5,5,4,4,5,1,5,4,2,4,1,1,4,1,1,3,1,4,3,5,4,3,2,5,1,3,1,5,3,5,3,3,4,4.333333333
2209,1,0,0, ,2,2,5,1,5,1,5,4,5,2,3,4,5,1,5,4,4,3,5,3,5,4,4,5,3,2,2,2,1,3,4,5,3,5,4,2,4,4,3,3,3,5,5,5,1,5,2.909090909,3.888888889
2209,4,0,0, ,2,2,4,2,4,1,4,2,4,4,2,4,5,2,4,4,4,4,1,1,4,5,2,3,1,1,4,4,1,4,2,5,4,4,5,2,4,4,2,4,2,4,4,4,3,5,4.363636364,4.333333333
2213,1,2,0, ,2,1,3,2,3,1,3, , ,2,4,3, ,1,4,1,3,3, ,1,2,3,1,3,1, , ,2, ,3, , ,1,4,4,4, ,4, ,4,1,3,3,4,1,4,3.111111111,3.111111111
2213,4,2,0, ,2,1,3,2,5,1,3, , ,3, ,4,4,3,4,4, ,4, , ,3, ,2, ,2,3, ,3,2, ,3, ,3,4,3,3, ,4,2,3,3, ,4,4,2, ,3.333333333,4
2219,1,0,0, ,1,3,2,2,4,1,3,4,4,3,3,4,4,4,4,2,4,4,5,4,4,2,2,4,4,4,2,4,1,4,2,3,2,4,3,4,4,4,4,3,4,2,4,4,2,5,2.818181818,3.666666667
2219,4,0,0, ,2,3,3,2,3,1,3,3,3,4,3,4,4,2,4,4,2,2,3,3,4,4,2,3,2,3,3,2,2,4,2,4,2,4,4,3,4,5,2,4,2,3,3,5,2,4,3.272727273,3.888888889
2229,1,0,0, ,1,2,4,3,4,2,4,4,4,3,4,5,4,2,4,3,4,4,3,2,4,4,2,4,2,4,5,5,3,4,3,3,3,4,4,4,2,4,3,4,3,4,1,4,2,4,3.636363636,4.333333333
2231,1,0,0, ,1,2,2,3,3,1,4,3,4,2,4,3,4,2,4,3,3,3,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3.666666667
2231,4,0,0, ,1,2,5,3,5,1,4,3,5,4,5,3,4,2,5,1,4,3,3,4,2,4,2,5,3,4,2,4,1,5,4,3,4,4,5,2,1,5,2,3,2,3,2,4,4,3,2,3.888888889
2251,1,1,0, ,2,2,1,1,3,2,3,4,4,4,4,3,2,1,4,3,2,2,4,3,4,4,5,4,4,2,2,2,2,3,2,4,4,4,4,3,4,4,1,2,3,4,2,4,4,4,3.181818182,4
2251,4,0,0, ,2,2,3,1,5,1,5,4,5,1,4,4,5,1,5,4,4,5,5,1,5,5,3,5,1,3,5,3,1,5,1,5,4,5,4,1,3,5,1,4,4,5,3,4,5,5,4.363636364,4.444444444
2255,1,0,0, ,2,3,4,1,5,1,4,3,4,2,5,5,4,2,5,1,3,4,4,1,2,3,1,4,1,2,4,4,1,4,3,4,1,4,4,5,3,5,2,4,2,4,3,4,2,3,3.545454545,4.444444444
2255,4,0,0, ,1,3,2,2,3,1,3,4,4,3,4,3,4,3,4,2,4,3,5,4,4,3,3,4,2,5,3,3,3,5,4,2,4,4,4,3,3,3,2,3, ,3,3,3,2,3,3.545454545,3.888888889
2261,1,1,0, ,1,1,1,1,4,1,5,5,5,2,5,5,4,2,5,4,5,4,5,5,4,4,4,4,2,4,4,4,2,4,3,4,4,4,4,4,4,5,2,4,2,5,2,4,4,4,3.636363636,4.333333333
2261,4,1,0, ,1,1,3,2,5,1,5,5,5,2,2,5,5,1,5,5,5,5,5,3,2,5,3,5,1,5,5,4,3,5,1,5,5,5,4,5,3,5,1,5,1,4,1,5,2,5,3.818181818,5
2263,1,0,0, ,2,2,4,4,5,4,4,3,4,4,3,4,4,4,4,3,4,4,2,1,3,5,3,3,4,2,3,5,5,4,5,4,5,4,4,4,4,3,4,3,4,5,1,2,3,5,3.909090909,3.777777778
2263,4,0,0, ,2,2,1,1,5,1,5,4,4,2,5,3,4,2,5,4,3,3,5,2,1,5,5,5,2,2,5,3,4,3,2,5,4,5,5,4,3,4,2,4,2,4,1,4,2,5,3.818181818,4.555555556
2265,1,1,0, ,1,3,3,4,4,1,5,3,3,2,3,4,4,2,4,4,4,4,2,1,3,3,3,3,2,4,4,4,2,4,3,4,2,3,4,2,2,4,2,4,2,4,5,3,4,3,3.363636364,4.222222222
2267,1,1,0, ,2,1,5,1,5,1,5,3,4,1,4,5,5,1,5,2,4,3,4,3,1,5,1,5,1,3,5,5,1,4,1,3,1,5,5,4,4,5,1,4,1,3,2,4,2,4,3.363636364,3.888888889
2267,4,1,0, ,2,1,5,3,5,1,5,3,5,1,3,5,5,1,5,3,5,2,3,3,5,5,1,4,1,2,5,5,1,5,2,4,1,5,5,3,3,5,2,5,4,3,1,3,1,4,4.272727273,4.333333333
2273,4,1,0, ,2,1,3,1,5,1,3,3,5,2,2,3,5,1,5,3,3,4,5,1,3,2,3,4,1,3,3,4,1,5,1,4,3,5,4,3,4,4,3,4,1,3,3,4,3,3,3.909090909,4.444444444
