ifam,ID,OnlineManual13,isOut,whyOut,sex,zygosity,tn_BFI1,tn_BFI2,tn_BFI3,tn_BFI4,tn_BFI5,tn_BFI6,tn_BFI7,tn_BFI8,tn_BFI9,tn_BFI10,tn_BFI11,tn_BFI12,tn_BFI13,tn_BFI14,tn_BFI15,tn_BFI16,tn_BFI17,tn_BFI18,tn_BFI19,tn_BFI20,tn_BFI21,tn_BFI22,tn_BFI23,tn_BFI24,tn_BFI25,tn_BFI26,tn_BFI27,tn_BFI28,tn_BFI29,tn_BFI30,tn_BFI31,tn_BFI32,tn_BFI33,tn_BFI34,tn_BFI35,tn_BFI36,tn_BFI37,tn_BFI38,tn_BFI39,tn_BFI40,tn_BFI41,tn_BFI42,tn_BFI43,tn_BFI44,EMPQ_emotional,EMPQ_cognitive
2275,1,0,0, ,2,2,4,2,3,3,3,3,4,4,4,3,3,2,4,3,3,3,3,2,3,3,3,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,3,4,3.090909091,4
2275,4,0,0, ,2,2,3,1,3,4,4,3,4,3,4,5,4,1,4,4,5,3,3,3,3,5,3,3,3,3,4,3,4,4,4,3,5,5,5,3,2,4,3,3,1,4,1,3,4,5,3.181818182,3.777777778
2283,1,1,0, ,1,1,4,2,5,1,4,3,5,4,2,4,5,1,4,4,5,5,5,1,4,5,1,4,2,2,4,3,1,2,4,5,4,5,5,2,2,5,4,5,4,5,1,5,5,3,3.727272727,3.333333333
2283,4,1,0, ,1,1,3,3,4,4,4,2,3,4,2,4,4,4,4,3,5,4,4,3,4,4,3,4,2,3,4,4,4,2,3,5,3,4,4,4,5,5,3,3,4,3,4,4,4,5,2.7,3
2289,1,1,0, ,1,2,3,4,3,2,3,2,4,5,1,4,5,3,4,4,3,4,5,4,4,2,2,3,4,4,2,4,4,2,2,1,3,4,3,3,3,4,4,3,3,3,4,4,5,3,3.818181818,3.888888889
2289,4,1,0, ,1,2,3,3,5,1,3,5,5,3,1,2,4,1,4,5,5,3,4,2,4,3,3,4,3,4,3,5,4,4,4,2,4,5,4,2,4,5,3,4,2,2,5,3,4,1,3.363636364,4
2301,1,1,0, ,2,2,4,4,5,1,4,3,4,1,2,4,4,2,4,1,4,4,2,1,3,3,1,4,2,4,4,5,1,5,2,4,2,3,5,2,1,4,2,5,5,2,5,1,2,2,3.272727273,4.333333333
5933,1,0,0, ,1,3,3,3,2,2,4,2,4,3,2,4,4,2,4,4,3,1,2,4,2,4,4,2,3,1,4,4,4,2,4,4,2,3,2,4,4,4,2,2,5,3,4,1,4,1,2,3.333333333
5933,4,0,0, ,2,3,5,2,3,2,4,2,5,4,4,5,4,3,5,4,4,2,5,1,2,5,4,5,4,2,4,3,3,4,4,4,4,4,4,3,3,4,3,4,3,4,2,4,4,3,3.545454545,3.777777778
5945,1,2,0, ,2,2,4,2,4,1,3,3, ,2,3,3,4,2,4,3,4,4,3,2,4,3,2,4,1,2,3,2,1,3,2,3,3,3,3,2,1,5,1,3,2,3,2,4,2,4,3.5,3.625
5945,4,2,0, ,2,2,4,3,3,1,4,2,4,3,4,4,4,3,4,1.5,4,3,4,3,1,4,2,4,1.5,3,3,4,2,3,3,4,3,4,4,4,3,4,3,4,3,4,3,4,2,3,3.4,4
5957,1,2,0, ,2,2,4,2,4,1,4,2,3,2,3,4,5,1,4,5,4,4,4,1,3,5,2,3,1,2,4,4,1,5,2,5,2,4,4,3,3,5,5,5,4,4,2,5,3,3,3.545454545,3.777777778
5957,4,2,0, ,2,2,1,2,3,2,5,5,5,1,5,5,2,1,3,2,3,4,4,3,2,5,4,3,2,5,5,4,4,5,3,5,3,5,4,5,3,2,1,3,1,5,1,3,5,5,3.454545455,4.777777778
5961,1,0,0, ,2,2,5,4,4,3,4,3,4,2,4,5,4,3,5,5,3,3,4,5,4,5,2,2,2,2,4,5,4,5,4,3,4,3,4,5,2,3,2,2,3,4,2,4,3,4,3.909090909,4
5961,4,0,0, ,2,2,2,4,4,1,5,4,4,3,2,4,3,3,4,5,3,3,2,1,3,5,4,3,1,5,5,5,4,5,4,5,3,3,4,2,3,3,3,4,5,5, ,2,2,5,4.181818182,4.777777778
5963,1,0,0, ,2,2,3,1,3,1,5,1,5,2,4,4,2,1,3,4,4,3,4,2,4,5,4,3,4,3,5,4,1,3,2,4,5,5,3,2,4,5,1,2,3,4,1,5,3,4,4.272727273,4.111111111
5963,4,0,0, ,2,2,4,2,3,2,3,4,5,1,3,5,4,2,3,5,1,5,4,1,5,4,3,5,5,2,5,3,4,4,2,5,5,5,2,2,2,5,3,1,4,3,1,5,5,5,4.181818182,4
5977,1,0,0, ,1,2,4,4,4,2,4,4,4,4,4,4,4,2,4,3,4,3,4,3,3,4,3,4,2,3,4,4,3,3,2,4,3,4,4,3,3,4,3,3,2,4,4,4,3,3,3,3.222222222
5977,4,0,0, ,1,2,4,4,4,2,5,3,4,4,3,4,5,3,4,4,3,4,3,4,4,5,2,4,4,2,5,3,2,4,3,3,2,3,3,2,4,5,4,4,4,4,1,5,4,5,3.181818182,3.777777778
5993,1,0,0, ,1,2,4,2,4,1,4,4,4,4,3,5,5,2,4,4,3,4,4,2,4,4,2,3,2,2,4,4,2,4,4,4,3,4,4,2,4,4,4,3,2,3,2,4,2,3,3.727272727,3.888888889
5993,4,0,0, ,1,2,2,1,3,1,5,4,5,4,5,5,5,1,4,3,4,3,5,5,4,5,4,5,3,2,5,5,1,3,3,5,3,5,4,4,3,5,2,5,4,5,1,5,4,5,3.909090909,4.111111111
5999,1,2,0, ,2,1,4,5,5,1,2,3,1,2,4,5,5,4,5,3,3,1,5,3,3,2,1,4,2,2,1,3,5,4,1,5,4,4,4,3,1,5,4,2,4,5,4, ,2,1,2.090909091,5
5999,4,2,0, ,2,1,4,2,5,1,2,3,4,3,2,3,4,1,4,4,3,3,4,2,3,2,2,3,2,4,3,4,1,3,5,3,3,4,4,2,2,5,2,4,2,3,2,4,2,2,2.8,4
6003,1,0,0, ,2,3,3,3,4,2,4,3,4,2,2,5,4,3,4,3,4,5,3,3,4,4,2,3,3,3,3,5,3,5,3,5,3,3,4,3,2,5,4,4,3,4,1,2,3,5,3.363636364,3.5
6003,4,0,0, ,1,3,3,2,3,2,4,1,3,3,3,4,4,3,4,3,4,3,3,4,3,4,2,4,4,3,4,3,2,3,3,2,2,3,3,3,4,3,2,3,2,3,3,3,4,2,2.454545455,3.222222222
6007,1,2,0, ,1,2,5,3,4,2,4,2,4,3,2,5,5,3,4,5,4,5,5,3,5,3,1,4,3,2,2,3,2,2,3,3,3,5,4,2,3,5,5,2,5,4,3,5,4,5,3.545454545,3.888888889
6007,4,2,0, ,1,2,2,4,5,3,4,4,3,2,4,4,3,2,5,4,5,3,3,2,5,5,4,3,3,3,4,4,3,4,3,3,3,3,5,4,4,4,3,4,3,4,4,4,3,4,3,3.666666667
6027,1,0,0, ,2,3,5,5,3,1,5,4,5,2,4,3,5,1,5,5,5,4,4,5,4,5,2,2,2,2,4,4,1,3,4,2,5,5,5,4,1,3,1,4,1,4,1,4,2,5,3.727272727,4.111111111
6027,4,0,0, ,1,3,3,2,4,1,5,4,5,4,4,5,4,1,5,4,4,4,5,4,3,5,2,4,3,3,4,4,2,3,1,4,3,4,4,3,2,5,1,3,1,3,1,5,4,4,3.727272727,4.444444444
6029,1,0,0, ,1,2,5,4,5,1,4,3,5,2,5,5,5,4,5,3,5,5,4,1,4,3,1,4,1,5,2,5,5,5,4,3,4,4,5,5,1,5,4,5,4,5,1,5,2,1,2.727272727,4
6029,4,0,0, ,1,2,4,3,2,3,5,4,4,4,5,5,3,1,3,3,4,4,5,5,1,5,3, ,4,2,5,4,4,3,4,5,3,5,5,5,5,3,2,3,3,5,2,5,5,5,3,3.888888889
6033,1,0,0, ,2,3,5,2,2,3,4,2,5,2,1,4,5,3,5,5,3,5,4,3,5,5,3,4,3,2,2,5,4,3,4,4,2,5,3,1,4,5,3,4,5,3,2,4,4,1,3.363636364,3.777777778
6033,4,0,0, ,1,3,3,2, ,1,4,3,4,4,3,5,5,2,4,3,5,5,4,3,3,4,2,4,3,3,3,4,2,3,2,3,2,4,4,3,2,5,1,4,4,3,3,4,5,4,3.090909091,3.222222222
6041,1,0,0, ,2,3,5,2,3,1,3,2,5,2,2,4,5,2,5,3,3,4,5,3,4,3,2,4,3,2,3,3,2,4,2,4,2,4,4,2,3,5,2,4,3,3,2,4,3,3,4.090909091,3.888888889
6041,4,0,0, ,1,3,5,4,2,2,2,1,5,4,2,5,4,4,4,4,4,4,5,5,4,5,1,4,5,2,5,2,1,2,5,5, ,4,4,2,4,5,1,2,5,4,5,4,5,5,3.909090909,3.888888889
6045,4,0,0, ,2,3,5,3,3,3,3,2,4,4,3,4,5,3,3,3,4,3,2,5,3,5,2,3,5,3,4,4,4,3,4,3,5,4,3,4,3,4,4,2,5,3,4,2,4,5,4.181818182,3.888888889
6049,1,0,0, ,2,1,4,2,5,1,4,4,4,2,3,5,4,2,5,3,4,5,3,1,3,5,1,4,2,1,4,5,1,5,2,4,1,4,4,3,4,4,3,5,2,4,1,4,2,4,3.909090909,4.777777778
6049,4,0,0, ,2,1,4,4,4,2,3,2,2,4,1,5,5,2,5,5,3,4,5,5,5,5,1,3,4,1,4,3,1,4,3,4,2,4,3,1,2,4,4,3,4,4,1,5,3,5,3.818181818,4.333333333
6061,1,0,0, ,1,3,5,4,2,2,4,3,4,4,3,5,4,3,3,4,3,4,2,5,4,5,3,2,5,2,3,5,3,3,3,3,2,3,3,3,2,3,3,3,4,4,2,4,4,2,3.727272727,3.333333333
6061,4,0,0, ,2,3,4,2,3,2,5,3,4,2,3,4,4,2,4,2,4,4,4,2,4,3,2,3,3,3,2,4,3,3,3,3,3,4,4,2,3,4,3,3,3,3,3,4,3,3,3.090909091,3.666666667
6065,1,0,0, ,2,1,3,2,3,1,4,3,5,2,3,3,5,1,4,2,2,3,4,4,3,3,2,4,3,2,3,3,2,3,2,4,2,4,3,3,4,5,2,5,3,3,2,4,3,4,4.363636364,4.555555556
6065,4,0,0, ,2,1,4,4,4,3,4,3,4,3,3,4,5,1,4,1,4,4,4,3,4,4,2,3,3,2,3,4,2,3,3,3,2,4,4,1,4,4,3,3,3,4,4,4,3,4,4,4.111111111
6069,1,0,0, ,2,2,4,4,4,1,5,1,5,4,3,5,5,1,5,4,5,4,3,4,4,4,1,2,1,4,4,5,2,5,1,5,2,5,5,1,3,4,2,4,3,4,5,4,5,4,2.818181818,4
6069,4,0,0, ,2,2,3,1,4,3,4,3,5,4,2,5,5,1,5,5,2,5,5,1,5,5,3,5,2,1,4,4,1,4,3,4,2,5,5,1,3,5,3,4,1,5,3,4,3,5,4.454545455,4.444444444
6073,1,0,0, ,1,3,2,2,3,2,4,4,4,2,4,4,4,2,4,2,4,4,4,2,2,4,4,4,2,4,4,2,2,4,4,4,3,4,4,4,4,4,3,4,2,3,3,4,2,3,2.727272727,3.444444444
6073,4,0,0, ,2,3,5,1,5,1,5,2,4,4,5,4,3,1,5,3,4,4,5,3,3,5,3,4,2,3,3,4,3,5,3,4,3,4,5,3,3,5,2,4,4,3,3,4,2,3,3.909090909,4.444444444
6079,1,0,0, ,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,2,4,3,3,3,3,3,3,2,3,3,4,3,4,1,2.909090909,3.111111111
6079,4,0,0, ,2,2,5,2,3,2,2,5,4,2,2,4,5,1,5,5,2,3,5,4,5,5,4,5,5,3,2,1,2,2,4,2,4,5,4,2,5,5,4,3,4,2,1,4,4,4,3.090909091,4.444444444
6081,1,0,0, ,2,3,4,3,5,1,5,4,5,2,5,5,4,1,5,3,5,3,4,1,2,3,2,4,2,4,5,4,4,5,2,4,4,4,5,4,3,5,2,5,4,4,2,5,1,3,3.181818182,4.666666667
6083,1,0,0, ,2,3,5,2,3,1,5,4,4,4,5,4,4,3,4,1,2,4,4,4,3,5,1,4,3,4,3,4,2,3,1,2,2,4,5,4,2,4,2,3,3,5,2,4,3,4,3.636363636,4.333333333
6083,4,0,0, ,1,3,4,1,4,1,4,4,4,1,3,4,2,1,5,3,4,4,3,1,1,3,2,3,1,5,4,3,2,4,2,4,3,4,4,4,3,5,1,4,1,3,2,5,2,4,2.363636364,4
6087,1,0,0, ,2,3,5,2,5,1,4,3,4,3,1,4,4,1,4,4,4,5,5,3,4,4,1,5,3,4,5,4,1,4,2,5,1,5,4,1,2,5,1,5,4,5,2,5,3,5,3.727272727,4.777777778
6087,4,0,0, ,1,3,1,1,4,1,4,3,5,1,3,4,4,1,4,3,5,4,4,1,3,4,4,5,2,2,5,4,1,4,1,5,2,5,5,3,2,5,1,4,1,5,1,5,1,5,3.181818182,4.555555556
6089,1,0,0, ,2,2,4,2,3,2,4,3,4,3,2,4,5,2,4,5,4,5,4,3,4,5,3,4,3,2,4,4,2,4,2,4,3,4,4,2,3,5,2,3,2,4,1,5,2,5,3.363636364,4.333333333
6089,4,0,0, ,2,2,4,3,4,1,3,1,5,1,2,5,5,1,5, ,4,5,5,4,4,5,2,5,1,5,5,5,1,2,1,4,4,5,5,1,2,5,1,5,1,3,1,5,4,5,4,4.888888889
6101,1,0,0, ,2,2,5,4,2,1,3,2,4,5,2,3,5,2,4,4,2,5,4,4,4,4,1,4,5,3,1,3,1,3,2,4,2,4,4,1,4,4,4,3,5,2,4,4,5,1,3.363636364,3.888888889
6101,4,0,0, ,2,2,4,5,5,2,5,3,4,1,1,5,4,1,3,5,4,4,4,2,5,4,3,4,3,1,5,3,2,4,3,3,3,4,3,1,2,4,4,3,4,3,4,1,5,3,4.454545455,3.666666667
6103,1,0,0, ,1,2,5,2,5,1,5,2,4,2,5,5,4,1,5,2,5,5,5,5,1,5,4,5,3,4,5,5,1,4,1,5,1,5,4,4,3,5,1,3,2,5,5,5,3,5,3.181818182,4
6103,4,0,0, ,1,2,3,1,5,1,5,4,5,1,5,5,4,1,5,2,4,4,5,1,1,3,4,5,1,4,5,4,1,5,1,4,4,5,5,5,3,5,1,4,3,5,3,5,2,2,3.545454545,4.666666667
6113,1,0,0, ,2,2,5,1,4,1,5,4,5,2,4,5,5,1,5,5,5,5,5,1,4,5,1,5,4,4,4,5,2,4,2,5,4,5,4,4,4,4,3,3,3,4,2,4,4,5,4.272727273,4.888888889
6113,4,0,0, ,2,2,5,2,5,1,4,2,5,4,2,4,5,1,5,3,4,5,5,3,2,4,1,5,1,2,4,5,1,5,1,4,1,5,3,2,2,5,2,4,4,3,3,5,2,4,3.727272727,4.555555556
6125,1,0,0, ,1,2,5,3,4,2,5,2,4,4,3,5,5,2,5,5,4,4,3,3,4,4,1,4,2,2,4,5,2,3,3,3,2,4,4,2,4,5,3,4,5,5,3,3,4,2,3.272727273,4.444444444
6125,4,0,0, ,1,2,4,2,4,3,3,4,4,3,4,5,4,3,4,4,4,4,5,4,5,4,3,4,3,3,3,4,1,4, ,3,2,4,4,3,4,4,3,4,4, ,3,4,3,3,2.6,3.888888889
6137,1,0,0, ,1,1,3,3,5,1,5,5,3,3,2,5,5,5,5,1,5,5,4,3,5,5,5,5,4,3,5,5,4,5,5,5,4,4,5,1,4,5,4,5,5,5,5,5,5,5,3.727272727,4.333333333
6137,4,2,0, ,1,1,4,5,5,1,5,4,4,1,4,5,5,4,5,5,4,4,5,1,5,5,4,5,2,1,5,4,4,5,5,5,4,4,5,4, ,5, ,4,5,5,1,5, , ,4.625,4
6139,1,0,0, ,2,3,3,2,3,2,3,4,4,2,3,4,4,1,4,3,3,3,4,2,3,4,5,4,3,3,3,2,2,3,2,3,4,4,4,2,4,4,2,3,2,3,3,4,4,2,3.727272727,4.222222222
6141,1,0,0, ,2,1,2,2,5,3,4,3,5,2,4,5,3,1,5,3,4,3,5,2,4,5,4,5,1,4,3,3,2,5,2,5,4,5,4,4,4,4,1,5,2,5,1,4,2,5,3.909090909,4.333333333
6141,4,0,0, ,2,1,3,2,5,1,4,4,5,2,4,4,4,2,4,3,4,3,5,2,2,4,3,4,2,4,4,3,2,4,2,4,3,4,4,4,2,4,3,4,2,3,2,4,1,4,3.454545455,4
6155,1,0,0, ,2,2,4,2,4,1,4,4,4,2,2,5,4,1,3,5,4,3,4,5,3,4,3,4,4,5,4,5,2,4,2,4,3,4,4,1,2,4,2,3,3,3,2,3,3,4,3.454545455,3.888888889
6155,4,0,0, ,2,2,5,3,4,2,4,3,4,2,4,4,5,3,4,3,4,4,2,5,3,5,2,3,4,3,4,4,4,4,3,2,2,3,3,4,2,4,3,3,2,4,4,3,2,4,3.363636364,4
6165,1,0,0, ,2,2,4,1,4,1,5,4,3,4,5,5,3,3,4,4,5,3,5,2,4,5,4,4,1,3,5,4,3,3,2,5,5,4,4,2,1,4,2,3,3,2,1,3,4,3,2.9,3.333333333
6179,1,2,0, ,2,3,5,1,3,1,5,3,5,4,2,5,5,3,4,5,5,5,3,1,5,5,1,5,1,3,2,5,3,5,2,5,1,4,5,2,3,5,4,5,3,5,1,5,3,2,4.545454545,4.666666667
6179,4,2,0, ,1,3,4,3,4,1,4,4, ,3,4,5,4,2,4,4,4,4,4,3,4,3,3,4,2,4,4,4, ,4, ,4,4,4,4,3,4,4,3,4,3,4,3,4,4, ,2.6,3.777777778
6185,1,2,0, ,1,2,4,2,4,1,4,3,4,3,4,4,3,1,5,3,3,3,4,1,3,2,2,3,1,3,2,2,2,4, , ,2,4,5,3,4,4,2,4,1,2,5,4,2,5,4.222222222,3.777777778
6185,4,2,0, ,1,2,2,3,4,2,3,4,4,2,4,5,4,1,4,3,4,4,5,4,5,5,5,3,2,1,5,2,5,5,3,5,5,4,4,3,3,3,3,3,2,4,4,4,5,1,4.333333333,4
6191,1,0,0, ,1,1,4,3,4,1,4,3,4,2,4,4,4,3,5,3,3,4,5,1,2,4,2,4, ,3,4,5,1,5,1,3,1,4,4,4,2,5,2,4,2,4,4,4,2,4,3.363636364,3.666666667
6191,4,0,0, ,1,1,3,2,4,1,5,4,4,2,4,4,4,1,5,2,5,4,3,1,1,4,2,5,2,2,5,4,1,5,1,4,2,4,5,3,4,5,1,5,2,2,4,4,1,4,4.363636364,4.555555556
6209,1,0,0, ,1,1,3,2,4,1,5, ,4,2,4,4,3,1, ,4,3, ,4,1,2,5,4,4,1,5, , ,3,3,1,5,4,5,4,3,3,5,1,4,1,5,1,5,3,5,2.545454545,4.444444444
6209,4,0,0, ,1,1,3,3,4,1,5,5,5,2,4,5,3,1,4,4,3,2,4,1,4,5,5,3,1,3,5,3,2,4,2,5,4,5,4,2,3,4,1,3,2,5,1,4,3,5,2.727272727,3.222222222
6221,1,0,0, ,2,1,2,1,3,2,5,5,5,3,5,5,4,2,4,2,5,5,5,3,5,5,4,5,3,4,5,5,5,5,5,5,4,5,5,5,2,4,3,5,5,5,1,4,2,5,3.090909091,4.333333333
6221,4,0,0, ,2,1,5,4,5,2,5,5,4,4,5,5,3,2,5,3,3,3,5,3,1,5,5,2,5,5,5,5,5,5,3,5,5,5,5,5,2,5,5,3,4,5,2,3,1,5,2.454545455,4.222222222
6225,1,0,0, ,2,1,4,2,5,1,4,5,5,1,3,5,4,1,5,5,4,4,3,2,5,4,3,4,1,1,3,3,1,4,5,5,4,5,5,2,2,5,1,3,5,4,2,4,1,4,3.727272727,4.333333333
6225,4,0,0, ,2,1,2,1,5,1,4,5,5,1,4,4,4,1,5,3,4,3,5,5,2,4,5,5,1,1,5,3,2,5,1,4,4,5,5,2,4,5,1,5,4,4,2,5,1,3,3.818181818,4.111111111
6239,1,0,0, ,2,2,5,5,3,1,5,2,4,4,1,2,5,3,5,5,4,4,3,5,5,5,1,5,3,1,5,5,2,2,2,2,2,4,4,4,4,4,2,4,3,3,1,5,5,4,4.272727273,4.555555556
6239,4,0,0, ,2,2,2,5,3,2,4,2,3,4,3,4,2,3,2,5,3,2,1,5,5,5,4,3,3,4,4,5,5,3,5,5,5,4,3,4,2,4,5,4,5,5,2,3,5,4,3.454545455,4.555555556
6249,1,0,0, ,2,3,3, ,3,3, , , ,2,3,3,3,2,5, , , , ,3,5,3,4, ,3,3, , ,3,3,4,3,4, ,3,3, , ,3,3,4, ,3,3, , ,4.333333333,3.888888889
6249,4,0,0, ,1,3,4,2,2,1,4,3,4,4,4,4,5,1,4,3,3,2,5,3,3,3,1,5,2,4,3,5,1,2,2,3,1,4,4,4,3,4,2,4,2,1,5,4,4,3,2.909090909,4.777777778
6285,1,0,0, ,1,2,2,2,3,2,3,4,3,4,3,4,5,4,4,4,3,4,5,2,5,3,4,4,2,2,3,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,3.545454545,3.777777778
6285,4,0,0, ,1,2,4,3,3,2,4,2,3,3,2,5,3,3,4,3,3,5,3,4,4,4,2,3,3,3,2,5,1,3,3,3,3,3,4,3,4,5,3,3,4,3,3,4,5,3,2.909090909,3.444444444
6307,1,0,0, ,2,3,5,1,4,3,5,2,5,4,4,4,5,1,4,5,5,5,5,4,5,5,2,5,5,2,5,4,1,4,4,5,4,5,5,2,4,5,2,2,4,5,5,5,5,5,3.909090909,4
6307,4,0,0, ,1,3,1,1,5,1,4,4,3,3,4,5,5,1,5,2,4,3,4,2,5,5,5,5,2,5,1,5,1,5,1,5,2,5,5,5,4,5,1,4,2,3,5,5,2,5,3.272727273,3.777777778
6315,1,0,0, ,1,3,5,2,5,1,4,3,4,5,4,5,5,2,4,3,5,4,2,5,2,4,3,4,5,4,5,4,2,5,2,4,4,4,5,4,1,4,5,4,2,5,1,3,4,4,3.363636364,4.888888889
6315,4,0,0, ,2,3,5,1,5,4,5,5,4,2,5,5,5,1,5,2,5,5,5,4,5,5,2,2,2,4,5,5,5,5,5,5,2,4,4,5,1,4,3,5,2,5,1,2,5,5,2.818181818,4.333333333
6321,1,0,0, ,2,2,2,2,5,2,4,5,4,2,5,5,5,1,5,4,4,3,4,1,3,5,4,5,1,4,4,5,3,5,3,5,4,5,5,4,3,4,2,4,4,5,1,4,1,4,4,4.777777778
6321,4,0,0, ,2,2,4,2,3,1,4,1,4,5,1,5,4,2,5,5,3,4,3,5,4,3,2,5,3,1,3,3,2,2,3,3,4,4,4,1,4,4,3,3,2,5,4,4,5,1,3.818181818,4.222222222
6339,1,0,0, ,2,2,4,1,5,1,5,4,5,3,5,5,5,1,5,4,5,5,4,1,3,5,2,5,1,4,5,5,1,5,2,5,2,5,5,4,5,5,2,5,4,2,2,5,1,5,4.272727273,4.777777778
6339,4,0,0, ,2,2,2,2,5,1,5,5,5,1,4,5,5,2,5,4,5,5,5,1,3,5,5,5,1,4,4,5,1,4,1,5,5,5,5,4,5,5,1,5,5,1,1,5,2,5,3.636363636,4.222222222
6349,1,0,0, ,2,2,3,1,4,2,2,4,4,2,4,4,2,2,4,3,4,2,5,5,4,3,4,4,2,3,3,4,2,5,2,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,3.727272727,4
6349,4,0,0, ,2,2,3,2,4,2,4,4,4,2,4,4,3,2,4,4,4,3,4,2,3,4,4,4,2,3,4,4,3,4,2,4,4,4,4,4,4,4,2,4,3,4,3,4,2,3,3.363636364,4
6351,1,0,0, ,1,3,4,3,3,4,4,3,4,3,2,4,4,2,5,4,3,2,3,4,4,5,4,3,4,3,3,4,4,3,4,4,3,5,3,3,3,4,3,3,4,5,2,3,4,3,3,2.888888889
6351,4,0,0, ,2,3,2,3,3,1,3,3,4,3,3,3,3,2,3,4,3,3,4,2,4,4,3,4,2,3,3,3,2,4,3,4,4,4,3,3,3,5,4,4,2,3,1,3,3,3,3.454545455,3.222222222
6373,1,0,0, ,1,3,4,3,4,1,4,1,5,3,2,5,5,1,5,4,4,4,5,3,4,5,3,5,1,4,4,4, ,4,2,5,3,5,5,3,5,5,1,4,1,3,1,5,3,5,2.272727273,4.111111111
6373,4,0,0, ,2,3,5,4,3,3,4,5,4,4,3,5,3,2,5,5,4,2,1,3,3,2,2,2,3,4,3,4,3,3,4,2,4,4,4,5,2,4,3,2, ,1,2,2,1,5,2.727272727,3.888888889
6377,1,0,0, ,2,3,4,5,3,3,4,4,3,1,3,5,4,1,5,5,4,5,2,4,5,5,3,2,5,2,3,3,5,4,3,3,4,3,3,3,2,4,3,3,4,4,2,2,5,3,3.181818182,3.666666667
6377,4,0,0, ,1,3,4,2,3,2,5,4,4,3,3,5,3,2,5,4,4,4,4,2,4,5,2,4,3,3,4,3,2,4,2,4,3,4,4,3,3,4,3,3,2,5,2,4,3,4,3.636363636,3.888888889
6395,1,2,0, ,2,3,4,2,3,2,4,1,4,2,4,4,5,1,5,3,5,4,3,3,4,5,1,4,1,3,4,3,1,3,3,4,1,5,5,4,2,5,2,3,3,4,5,5,2,5,4.363636364,4.444444444
6395,4,2,0, ,1,3,2,4,5,1,5,4,4,4,4,1,5,4,3,2,5,1,5,1,1,4,4,5,1,2,5,5,4,4,5,4,1,4,4,5,1,4,2,5,1,1,1,5,5,1,3.545454545,4.888888889
6399,1,0,0, ,2,2,3,1,5,2,4,2,3,5,3,5,4,3,5,5,5,3,4,2,5,4,2,4,3,3,3,5,3,5,3,3,4,3,5,3,1,4,3,4,4,4,1,2,3,3,3.090909091,4
6401,1,0,0, ,2,3,3,1,4,2,3,2,2,4,2,4,3,1,4,2,4,3,4,1,5,2,4,4,3,3,2,2,1,3,3,4,4,4,4,3,5,4,3,2,4,4,1,4,2,1,3.454545455,3.111111111
6401,4,0,0, ,1,3,2,2,4,1,4,4,4,3,3,5,4,1,4,3,4,3,5,1,4,3,2,4,1,3,3,3,1,4,2,4,1,4,4,2,4,5,1,4,2,2,1,4,2,2,3.272727273,3.222222222
6411,1,2,0, ,1,2,4,2,3,1,3,2,4,4,5,5,5,3,3,1,4,4,4,3,5,4,1,4,3,4,3,4,2,3,1,4,4,5,3,3,4,5,3,4,2,4,5,4,3,1,2.818181818,3.444444444
6411,4,2,0, ,1,2,4,2,5,1,3,2,4,2,4,4,4,2,4,4,4,3,4,1,4,3,2,4,2,2,5,4,4,4,2,4,4,4,5,2,5,4,4,2,2,4,4,4,2,2,3.8,3.888888889
6435,1,0,0, ,1,2,4,4,4,2,4,4,5,3,4,5,4,2,5,3,4,4,4,3,5,4,2,4,3,4,4,4,1,5,1,3,2,4,4,4,2,5,2,3,2,3,3,4,2,5,3,4.666666667
6435,4,0,0, ,1,2,4,2,5,4,4,2,5,3,3,5,5,3,5,4,4,4,3,3,5,4,3,4,3,2,4,5,3,4,3,4,3,5,4,3,2,5,3,4,5,2,2,4,3,5,4.090909091,3.888888889
6437,1,0,0, ,2,3,5,5,2,4,4,3,4,5,3,4,3,4,4,4,2,3,3,5,3,3,1,3,5,2,3,5,4,2,4,1,1,3,4,3,3,5,4,2,4,3,4,3,4,2,3.727272727,3.555555556
6439,1,0,0, ,2,3,5,2,3,1,4,1,5,4,1,4,5,4,5,4,3,4,4,4,5,4,2,4,1,2,3,5,1,5,1,4,3,4,4,1,2,5,1,3,4,4,2,4,1,2,3.818181818,4.333333333
6439,4,0,0, ,1,3,3,3,4,2,5,3,4,5,3,4,4,1,4,4,4,2,3,4,3,5,4,4,2,3,3,2,2,4,3,3,4,4, ,4,3,5,3,3,3,2,3,4,3,3,2.818181818,2.888888889
6451,1,0,0, ,2,2,2,2,5,1,3,3,4,3,4,4,4,1,4,2,4,3,4,5,2,4,4,4,3,3,2,2,2,4,2,4,3,4,3,4,3,4,2,3,4,4,2,4,4,2,3.727272727,4.222222222
6451,4,0,0, ,2,2,5,3,2,1,2,2,4,3,2,3,3,2,4,3,3,3,4,2,5,2,4,4,3,2,2,3,2,3,2,3,4,4,4,2,3,4,3,3,5,3,3,3,3,3,3.727272727,3.888888889
