ifam,ID,Age13
ba0006,4,13.42425432
ba0010,1,13.32899362
ba0010,4,13.36214205
ba0080,1,13.18854026
ba0080,4,13.35147312
ba0135,4,13.38080066
ba0216,1,13.6026598
ba0216,4,13.47657585
ba0275,1,13.51749547
ba0275,4,13.51748869
ba0301,1,13.35370637
ba0334,1,13.49506601
ba0334,4,13.49606184
ba0345,1,13.19762739
ba0345,4,13.17847032
ba0360,1,13.22817581
ba0371,1,13.30078732
ba0393,1,13.19745164
ba0393,4,13.19758819
ba0404,1,13.81348899
ba0404,4,13.41587643
ba0426,1,13.15065306
ba0426,4,13.13947512
ba0441,1,13.19209835
ba0441,4,13.19146887
ba0463,1,13.44031051
ba0463,4,13.74765591
ba0485,1,13.37021738
ba0485,4,13.37034271
ba0496,1,13.42787579
ba0496,4,13.42751296
ba0511,1,13.23032306
ba0511,4,13.23010093
ba0544,1,13.19509139
ba0544,4,13.16213933
ba0555,1,13.88233871
ba0555,4,13.88433816
ba0566,1,13.31422931
ba0566,4,13.31412788
ba0636,1,13.27951856
ba0640,1,13.30731485
ba0640,4,13.3086942
ba0673,1,13.07431113
ba0673,4,13.09301281
ba0684,1,13.64951067
ba0684,4,13.64951761
ba0695,1,13.07146561
ba0695,4,13.09122598
ba0710,1,13.69583619
ba0721,1,13.23509034
ba0721,4,13.23647096
ba0743,1,13.20534144
ba0743,4,13.20531051
ba0765,1,13.2073922
ba0765,4,13.2073922
ba0776,1,13.24685895
ba0776,4,13.24693228
ba0835,1,13.10635365
ba0835,4,13.10764066
ba0846,1,13.96705035
ba0846,4,13.02217269
ba0872,1,13.75087288
ba0990,1,13.15054589
ba0990,4,13.06364004
bd1001,1,13.47296372
bd1001,4,13.47296372
bd1012,1,13.98767967
bd1012,4, 
bd1082,4, 
bd1093,1, 
bd1104,1,13.21871413
bd1104,4,13.21856424
bd1152,1,13.05206549
bd1152,4,13.04721059
bd1163,1,13.4552337
bd1174,1,13.89586575
bd1185,1,13.32875073
bd1185,4,13.3892039
bd1200,1,13.31286375
bd1200,4,13.33992683
bd1211,1,13.16195487
bd1211,4,13.16194422
bd1233,1,13.71251138
bd1233,4,13.57243003
bd1255,1,13.66258892
bd1255,4,13.66276022
bd1292,4,13.42441044
bd1303,1,13.78354387
bd1303,4,13.43868545
bd1325,1,13.62189916
bd1336,4,13.43034454
bd1362,1,13.01358839
bd1362,4,13.01343607
bd1384,1,13.23038127
bd1384,4,13.23033586
bd1406,1, 
bd1406,4,13.44558522
bd1432,1,13.05839516
bd1432,4,13.05458932
bd1480,1,13.02732492
bd1491,1,13.38319631
bd1491,4,13.38323051
bd1594,1,13.65487933
bd1594,4,13.6137853
bd1616,1,13.38093093
bd1616,4,13.38092684
bd1642,1,13.31218889
bd1642,4,13.31281834
bd1653,1,13.17026301
bd1653,4,13.17039052
bd1664,1,12.82484993
bd1675,1,13.00837446
bd1675,4,13.00827877
bd1701,4,13.69779736
bd1712,1,13.64101329
bd1712,4,12.99256281
bd1756,1,13.38630713
