ifam,ID,Age11
1001,1,11.38605642
1001,4,11.38576511
1004,4,11.25905367
1005,1,11.23703891
1005,4,11.23720546
1008,1,11.13566009
1008,4,11.13393753
1013,1,11.16092361
1013,4,11.16034261
1015,1,11.35209126
1015,4,11.23229041
1017,1,11.26242363
1017,4,11.25983757
1019,1,11.66714804
1019,4,11.59933135
1020,1,11.34674284
1020,4,11.34675473
1021,1,11.42164759
1021,4,11.42423955
1023,4,11.42078818
1025,1,11.55646817
1025,4,11.55646817
1026,1,11.45323678
1026,4,11.45336889
1027,1,11.45966972
1027,4,11.49725347
1030,1,11.30960666
1030,4,11.32782277
1033,1,11.36545789
1033,4,11.37662785
1034,1,11.13602058
1034,4,11.17221234
1035,1,10.96910224
1035,4,10.9660099
1036,1,11.14675029
1036,4,11.14662335
1037,1,11.28924199
1037,4,11.28997091
1039,1,11.11471402
1039,4,11.11478154
1041,1,11.08403836
1041,4,11.08426449
1042,1,11.10276903
1042,4,11.11715843
1044,1,11.12574936
1044,4,11.12293527
1046,1,11.67868235
1046,4,11.6807249
1047,1,11.17524409
1047,4,11.47805711
1048,1,11.34785285
1048,4,11.3475251
1049,1,11.38801991
1049,4,11.38792459
1051,1,11.12034112
1051,4,11.120262
1052,1,11.18208638
1052,4,11.18217865
1053,1,11.23968008
1053,4,11.23967168
1054,1,11.11956483
1054,4,11.13876201
1055,1,11.70854137
1055,4,11.15024397
1056,1,11.15818323
1056,4,11.28976928
1058,1,11.39579217
1058,4,11.39578751
1062,1,11.13327991
1062,4,11.13378521
1064,1,11.26506559
1064,4,11.27096446
1066,1,10.95802786
1066,4,10.97222013
1068,1,11.06515505
1069,1,11.00222137
1069,4,11.01297371
1070,1,11.32922656
1070,4,11.32922656
1071,1,11.26795602
1071,4,11.26796087
1072,1,11.12303439
1072,4,11.12259047
1074,1,11.17201359
1074,4,11.17200804
1077,1,11.19373359
1077,4,11.19382279
1078,1,11.03825595
1079,1,11.54419845
1079,4,11.5441345
1080,1,11.07087659
1080,4,11.07079401
1083,1,11.12300058
1083,4,11.12331337
1084,1,11.04548144
1084,4,11.04536492
1086,1,12.5899402
1086,4,12.5741622
1087,1,11.14219627
1087,4,11.18024637
1088,1,10.9473646
1088,4,10.9474422
1090,1,11.13382903
1090,4,11.13391031
1094,1,11.46513315
1094,4,11.57213441
1095,1,11.08667472
1095,4,11.08667183
1096,1,11.12044997
1096,4,11.10123558
1097,1,11.04907179
1097,4,11.11232663
1099,1,11.238049
1099,4,11.234885
1100,1,11.95345654
1100,4,11.95345654
1101,1, 
1101,4, 
1102,1,11.07460643
1102,4,11.07460643
1103,1,11.06091718
1103,4,11.06091718
1106,1,10.97510929
1106,4,10.9752299
1108,1,10.98315775
1108,4,10.98315775
1109,1, 
1109,4, 
1110,1,10.89819264
1110,4,10.89773829
1111,1,11.11467076
1112,1,11.64745928
1114,1,10.93128378
1114,4,11.34700376
1115,1,10.92519
1115,4,10.91952775
1117,1,11.2929102
1117,4,11.56087957
1119,1,11.71072328
1119,4,11.86484546
1120,1,11.01611178
1120,4,11.03518392
1121,1,10.98041423
1121,4,10.98592345
1123,1,11.62129512
1123,4,11.62286124
1125,4,11.29554079
1126,4,11.01587164
1127,1,11.22792608
1127,4,11.22792608
1128,1, 
1128,4, 
1129,1,10.87934491
1129,4,10.90089148
1130,1,10.96369686
1130,4,10.96370149
1131,1,11.05706023
1131,4,11.05723021
1132,4,11.12532449
1133,1,11.20998378
1133,4,11.21003486
1134,4,10.93383946
1135,1,10.87507282
1135,4,10.87359676
1136,1,10.97976823
1136,4,10.97981139
1137,1,10.967303
1137,4,10.96897464
1138,1,11.08763033
1138,4,11.06469979
1139,1,11.36620427
1139,4,11.10095904
