ifam,ID,source,whichParentOut,whyParentOut,EQSQ_empathy.2,EQSQ_empathy.3
2,1,0,0, ,1.4,1.2
2,4,0,0, ,1.2,1.6
6,1,0,0, ,1, 
6,4,0,0, ,1, 
9,1,0,0, , ,.2
9,4,0,0, , ,.2
14,1,0,0, ,.8,1.8
14,4,0,0, ,.6,2
16,1,0,0, ,.8,1.6
16,4,0,0, ,.8,1.4
18,1,0,0, ,1.2,1.2
18,4,0,0, ,.8,1.4
20,1,0,0, , ,.8
20,4,0,0, , ,.6
21,1,0,0, , ,1.6
21,4,0,0, , ,1.6
22,1,0,0, ,1.4,.6
22,4,0,0, ,1.4,.6
26,1,1,0, ,2,1.6
26,4,1,0, ,1.8,1.4
27,1,0,0, ,.6,1.4
27,4,0,0, ,.6,1.6
28,1,0,0, ,2,1.2
28,4,0,0, ,2,1.8
31,1,0,0, ,1.4,1.4
31,4,0,0, ,1.6,1.4
34,1,0,0, ,1.4,1.8
34,4,0,0, ,1.2,1.8
35,1,0,0, ,1.6,1.4
35,4,0,0, ,1.8,1.4
36,1,0,0, , ,.8
36,4,0,0, , ,1
37,1,0,0, ,1.2,1.2
37,4,0,0, ,1.2,1
38,1,0,0, ,1.2,1.8
38,4,0,0, ,1,1.8
40,1,0,0, ,1,1
40,4,0,0, ,1,1
41,1,0,0, ,1,1.4
41,4,0,0, ,1.4,1.4
42,1,0,0, ,.6,.2
42,4,0,0, ,.8,.4
43,1,0,0, , ,1.4
43,4,0,0, , ,1.6
45,1,0,0, ,1,.4
45,4,0,0, ,1.4,.4
46,1,0,0, ,1.2,1.4
46,4,0,0, ,.4,1.2
47,1,0,0, , ,1.2
47,4,0,0, , ,1.2
48,1,0,0, ,1.4,1.2
48,4,0,0, ,1.4,1
49,1,1,0, ,1.4,.6
49,4,1,0, ,1.4,1
51,1,0,0, , ,1.8
51,4,0,0, , ,1
52,1,0,0, , ,1
52,4,0,0, , ,1.2
53,1,0,0, , ,2
53,4,0,0, , ,1.4
54,1,0,0, ,1.8,1.6
54,4,0,0, ,1.8,1.6
56,1,0,0, ,1.8,2
56,4,0,0, ,1.8,2
58,1,2,0, ,1,1
58,4,2,0, ,1.2,1
64,1,0,0, ,1,.8
64,4,0,0, ,2,1
66,1,0,0, , ,1.8
66,4,0,0, , ,2
67,1,0,0, , ,1
67,4,0,0, , ,1
69,1,0,0, ,.8,.8
69,4,0,0, ,1,1.4
70,1,2,0, ,1.2,2
70,4,2,0, ,1.4,1.4
71,1,0,0, ,1.2,1.4
71,4,0,0, ,1.6,1.2
72,1,0,0, ,.8,1.8
72,4,0,0, ,.2,1.4
74,1,0,0, , ,1.8
74,4,0,0, , ,1.6
76,1,0,0, ,.75,.75
76,4,0,0, ,1.5,1.5
77,1,0,0, , ,1
77,4,0,0, ,.8,1.2
78,1,0,0, , ,1
78,4,0,0, , ,1.6
80,1,0,0, ,1.4, 
80,4,0,0, ,1.4, 
81,1,0,0, , ,2
81,4,0,0, , ,2
83,1,0,0, ,1.6,1.8
83,4,0,0, ,1.2,.8
84,1,0,0, , ,2
84,4,0,0, , ,1.6
87,1,0,0, ,1,1.4
87,4,0,0, ,.8,.4
88,1,0,0, , ,.6
88,4,0,0, , ,1.6
94,1,0,0, , ,.4
94,4,0,0, , ,1.2
95,1,1,0, , ,1.2
95,4,1,0, , ,1.2
96,1,0,0, ,0, 
96,4,0,0, ,0, 
97,1,0,0, , ,1.4
97,4,0,0, , ,1.2
99,1,0,0, ,1.8,1.4
99,4,0,0, ,1.6,1
100,1,1,0, , ,1.25
100,4,1,0, , ,1.5
101,1,1,0, ,1.8,1
101,4,1,0, ,1,1
102,1,1,0, , ,1.8
102,4,1,0, , ,1.8
103,1,1,0, ,1.4,1.4
103,4,1,0, ,1,1.2
106,1,0,0, ,2,2
106,4,0,0, ,2,1.8
108,1,0,0, , ,.8
108,4,0,0, , ,1.2
109,1,1,0, , ,.4
109,4,1,0, , ,.6
110,1,0,0, ,1.8,1.6
110,4,0,0, ,1.8,1.6
114,1,0,0, ,1.2,1.8
114,4,0,0, ,1.2,2
115,1,0,0, ,1.2,1.8
115,4,0,0, ,1,1.8
117,1,0,0, ,0, 
117,4,0,0, ,0, 
119,1,0,0, , ,1.4
119,4,0,0, , ,1.4
120,1,0,0, , ,1.2
120,4,0,0, , ,1.25
121,1,0,0, ,.4,1.2
121,4,0,0, ,.8,1
127,1,1,0, , ,1.8
127,4,1,0, , ,1.2
128,1,1,0, ,1,1.6
128,4,1,0, ,1.666666667,1.6
129,1,0,0, ,2,2
129,4,0,0, ,1.8,2
130,1,0,0, ,.6,1.2
130,4,0,0, ,.8,1.6
131,1,0,0, , ,2
131,4,0,0, , ,1.6
132,1,0,0, , ,1.6
132,4,0,0, , ,1.6
133,1,0,0, ,1.4,1
133,4,0,0, ,1.4,1
135,1,0,0, ,.4,1.4
135,4,0,0, ,2,1.8
136,1,0,0, ,1.4,2
136,4,0,0, ,1.4,2
137,1,0,0, ,1.6,1.4
137,4,0,0, ,1.2,1.8
138,1,0,0, , ,1.2
138,4,0,0, , ,1.6
139,1,0,0, ,1.4, 
139,4,0,0, ,1.6, 
143,1,0,0, ,1.75,1.6
143,4,0,0, ,1.8,1.4
149,1,0,0, ,.8,1.2
149,4,0,0, ,1,1
151,1,0,0, ,.8,.2
151,4,0,0, ,.8,1.2
155,1,1,0, , ,.4
155,4,1,0, , ,1.8
158,1,0,0, ,1.6, 
158,4,0,0, ,1.4, 
159,1,0,0, ,.8,1.2
159,4,0,0, ,1.2,1.8
161,1,1,0, ,1.6,1.6
161,4,1,0, ,1.8,1
163,1,1,0, , ,.8
163,4,1,0, , ,1
164,1,0,0, ,.8,1.4
164,4,0,0, ,.8,1.6
165,1,0,0, ,1.4,1.6
165,4,0,0, ,1.4,1.6
166,1,0,0, ,1.8,1.8
166,4,0,0, ,1.6,1.2
167,1,0,0, ,.8,1.4
167,4,0,0, ,.8,1.4
168,1,1,0, ,1,.6
168,4,1,0, ,1.4,1.4
171,1,0,0, ,1,1
171,4,0,0, ,1.8,1.4
175,1,0,0, ,.5,1
175,4,0,0, ,1.25,1.6
182,1,0,0, ,1.4,1.8
182,4,0,0, ,1.4,1.8
187,1,0,0, ,1.4,1.4
187,4,0,0, ,1.6,1.8
190,1,0,0, , ,.6
190,4,0,0, , ,.8
193,1,0,0, ,.6,.4
193,4,0,0, ,.8,2
194,1,0,0, ,.6,.8
194,4,0,0, ,.25,1.2
195,1,0,0, ,.6,1.4
195,4,0,0, ,.8,1.8
196,1,0,0, ,1.4,.8
196,4,0,0, ,1,1.2
204,1,0,0, ,1.8,1.4
204,4,0,0, ,1.8,.8
207,1,1,0, ,.8,1.6
207,4,1,0, ,1.6,1.4
209,1,0,0, ,2,2
209,4,0,0, ,1.6,1
210,1,0,0, , ,2
210,4,0,0, , ,1.8
212,1,0,0, ,1,2
212,4,0,0, ,1.6,2
214,1,0,0, ,1.4,1.6
214,4,0,0, ,1.6,1.6
219,1,1,2,1,1.6,1
219,4,1,2,1,1.6,.8
221,1,0,0, , ,1
221,4,0,0, , ,1.4
223,1,0,0, , ,1.6
223,4,0,0, , ,1.4
224,1,0,3,1,1.2, 
224,4,0,3,1,2, 
225,1,0,0, ,1.2,.8
225,4,0,0, ,1.4,1.2
226,1,0,0, , ,.4
226,4,0,0, , ,1.4
228,1,1,0, ,1.2,.6
228,4,1,0, ,1,1.4
229,1,0,0, ,1.6,1.8
229,4,0,0, ,1.6,1.8
230,1,0,0, ,1.2,1.2
230,4,0,0, ,1,1.2
232,1,0,0, , ,1.6
232,4,0,0, , ,1.8
233,1,0,0, ,.2, 
233,4,0,0, ,.4, 
239,1,1,0, ,1.4,1.6
239,4,1,0, ,1.4,1.4
240,1,0,0, ,2,1
240,4,0,0, ,2,1
241,1,0,0, ,1.6,1.4
241,4,0,0, ,2,1.4
242,1,0,0, ,.4,1.2
242,4,0,0, ,.4,.6
244,1,0,0, , ,2
244,4,0,0, , ,1.6
248,1,0,0, , ,2
248,4,0,0, , ,2
250,1,0,0, ,1.2,1.6
250,4,0,0, ,1.4,1.6
252,1,0,0, ,1.4,1.4
252,4,0,0, ,1.8,2
253,1,0,0, , ,1.2
253,4,0,0, , ,1.2
257,1,0,0, , ,1.6
257,4,0,0, , ,1.4
259,1,0,0, ,0,.6
259,4,0,0, ,0,.2
260,1,0,0, , ,1.6
260,4,0,0, , ,1.4
261,1,0,0, ,2,1.8
261,4,0,0, ,2,1.8
262,1,0,0, ,1.4,.6
262,4,0,0, ,1.4,1
264,1,0,0, , ,1.2
264,4,0,0, , ,1.2
265,1,0,3,1,1.2, 
265,4,0,3,1,1.6, 
266,1,0,0, ,1.6,1.6
266,4,0,0, ,1,1
268,1,0,0, ,1,2
268,4,0,0, ,.6,1.4
269,1,0,0, ,.8,1.4
269,4,0,0, ,1.6,2
273,1,0,0, , ,1.4
273,4,0,0, , ,.8
275,1,0,0, , ,1.4
275,4,0,0, , ,2
276,1,0,0, , ,.8
276,4,0,0, , ,1.4
277,1,0,0, , ,.8
277,4,0,0, , ,1.2
278,1,1,0, ,1.2,1
278,4,1,0, ,1,1.2
280,1,0,0, , ,1.8
280,4,0,0, , ,1.4
283,1,0,0, ,1.8,1
283,4,0,0, ,1.2,.8
286,1,0,0, , ,1.2
286,4,0,0, , ,1.8
288,1,0,0, , ,.2
288,4,0,0, , ,.2
290,1,0,0, , ,1
290,4,0,0, , ,1
291,1,0,0, , ,1.4
291,4,0,0, , ,1.6
292,1,0,0, , ,2
292,4,0,0, , ,1.6
293,1,0,0, ,1.6,1.2
293,4,0,0, ,1.6,1.4
299,1,0,0, , ,1
299,4,0,0, , ,.6
308,1,1,0, , ,.4
308,4,1,0, , ,.6
312,1,0,0, , ,.6
312,4,0,0, , ,.6
313,1,0,0, ,1.6,2
313,4,0,0, ,1.6,2
317,1,0,0, , ,1.4
317,4,0,0, , ,1.6
319,1,1,0, ,1.8,1.8
