ifam,ID,Age13
1,4,13.4242543159175
2,1,13.3289936180191
2,4,13.3621420513601
9,1,13.1885402565468
9,4,13.3514731158263
14,4,13.3808006629148
22,1,13.6026598030268
22,4,13.4765758486071
28,1,13.5174954686034
28,4,13.5174886873527
31,1,13.353706365503
34,1,13.4950660062869
34,4,13.4960618361346
35,1,13.197627386113
35,4,13.178470320937
37,1,13.2281758118489
38,1,13.3007873222298
40,1,13.1974516439781
40,4,13.1975881879484
41,1,13.8134889852207
41,4,13.4158764291328
43,1,13.1506530598018
43,4,13.1394751185134
45,1,13.1920983534869
45,4,13.1914688696225
46,1,13.4403105115725
46,4,13.747655905392
48,1,13.3702173802824
48,4,13.3703427066698
49,1,13.4278757890333
49,4,13.4275129604279
51,1,13.2303230600553
51,4,13.2301009265597
54,1,13.1950913884453
54,4,13.1621393261845
55,1,13.882338707633
55,4,13.8843381625979
56,1,13.3142293140163
56,4,13.3141278804472
63,1,13.2795185628818
64,1,13.3073148465029
64,4,13.3086941972774
67,1,13.074311132659
67,4,13.0930128083251
68,1,13.649510672548
68,4,13.6495176122392
69,1,13.0714656057495
69,4,13.0912259804294
71,1,13.6958361852612
72,1,13.2350903427384
72,4,13.2364709610363
74,1,13.2053414391462
74,4,13.2053105115725
76,1,13.2073921971253
76,4,13.2073921971253
77,1,13.2468589499835
77,4,13.2469322762187
83,1,13.1063536517352
83,4,13.1076406634218
84,1,13.9670503460339
84,4,13.022172693741
87,1,13.750872880067
99,1,13.1505458906888
99,4,13.0636400423353
100,1,13.4729637234771
100,4,13.4729637234771
101,1,13.9876796714579
101,4, 
108,4, 
109,1, 
110,1,13.2187141290846
110,4,13.2185642444292
115,1,13.0520654929399
115,4,13.047210592694
116,1,13.4552336996476
117,1,13.8958657502472
118,1,13.328750728826
118,4,13.3892039001698
120,1,13.3128637475601
120,4,13.3399268322053
121,1,13.1619548698254
121,4,13.1619442226278
123,1,13.7125113760235
123,4,13.572430032702
125,1,13.6625889167744
125,4,13.6627602225771
129,4,13.4244104431262
130,1,13.7835438689888
130,4,13.4386854513651
132,1,13.6218991621669
133,4,13.4303445445788
136,1,13.0135883907521
136,4,13.013436066114
138,1,13.2303812710725
138,4,13.2303358620427
140,1, 
140,4,13.4455852156058
143,1,13.0583951567927
143,4,13.0545893223819
148,1,13.0273249233148
149,1,13.3831963140416
149,4,13.3832305054884
159,1,13.6548793317616
159,4,13.6137853005298
161,1,13.3809309326438
161,4,13.3809268448805
164,1,13.3121888863538
164,4,13.3128183385302
165,1,13.1702630111288
165,4,13.1703905239942
166,1,12.8248499252161
167,1,13.0083744644714
167,4,13.0082787664461
170,4,13.697797361016
171,1,13.641013289984
171,4,12.9925628057901
175,1,13.3863071336223
175,4,13.3894298679241
178,1,13.107000912617
178,4,13.1273984713666
184,1,12.8881471975055
195,1,13.2985676667427
195,4,13.2985673815499
201,1, 
201,4, 
207,1,13.4045174537988
207,4,13.4045174537988
209,1,13.2493179455979
209,4,13.2374872613886
210,1,13.2717336869724
210,4,13.2717219306918
217,1,13.2683347909854
217,4,13.4607688163866
225,1,13.2277678910944
225,4,13.2293849025275
228,1,13.6208076659822
228,4,13.6208076659822
230,1,13.2329359013359
230,4,13.2334007655841
232,1,13.4182067077344
232,4,13.4182067077344
241,1,13.1912206885188
241,4,13.1914560359469
242,1,13.2869927687784
242,4,13.2742216138109
244,1,13.348086736634
