ifam,ID,OnlineManual13,isOut,whyOut,sex,zygosity,tn_BFI1,tn_BFI2,tn_BFI3,tn_BFI4,tn_BFI5,tn_BFI6,tn_BFI7,tn_BFI8,tn_BFI9,tn_BFI10,tn_BFI11,tn_BFI12,tn_BFI13,tn_BFI14,tn_BFI15,tn_BFI16,tn_BFI17,tn_BFI18,tn_BFI19,tn_BFI20,tn_BFI21,tn_BFI22,tn_BFI23,tn_BFI24,tn_BFI25,tn_BFI26,tn_BFI27,tn_BFI28,tn_BFI29,tn_BFI30,tn_BFI31,tn_BFI32,tn_BFI33,tn_BFI34,tn_BFI35,tn_BFI36,tn_BFI37,tn_BFI38,tn_BFI39,tn_BFI40,tn_BFI41,tn_BFI42,tn_BFI43,tn_BFI44,EMPQ_emotional,EMPQ_cognitive
1344,1,2,0, ,1,2,5,4,2,1,5,2,3,4,2,2,5,3,3,2,5,5,3,2,3,4,2,3,3,4,4,3,3,3,3,3,4,4,4,3,4,5,2,3,4,4,3,5,5,3,3.909090909,3.444444444
1,4,0,0, ,2,3,4,3,2,1,3,2,5,3,2,3,4,2,5,2,3,4,5,4,4,3,1,4,4,2,3,4,1,2,1,1,2,4,4,2,2,5,4,5,4,3,3,4,5,3,3.454545455,3.888888889
2,1,0,0, ,2,3,5,3,2,1,3,5,5,5,5,4,5,1,5,4,4,5,4,5,1,5,1,5,5,4,3,5,1,4,2,1,1,4,4,5,1,5,5,4,1,4,4,5,1,1,3.818181818,4.888888889
2,4,0,0, ,1,3,5,3,2,1,3,3,4,4,4,5,5,1,3,4,3,4,4,5,4,2,1,4,4,3,2,4,1,2,4,2,4,4,4,3,5,5,2,2,1,4,1,5,2,1,3.909090909,4.444444444
9,1,0,0, ,1,3,4,3,2,1,5,4,4,4,4,5,4,3,3,2,4,4,3,2,4,5,3,4,3,5,4,5,5,4,4,3,4,4,4,3,3,5,3,4,3,4,3,4,5,3,2.636363636,3.555555556
9,4,0,0, ,2,3,4,4,4,2,4,4,3,4,2,5,4,3,4,4,3,2,3,2,4,4,4,3,3,4,4,3,3,4,3,2,5,4,4,1,3,4,4,3,4,4,3,4,3,3,3.181818182,3.777777778
14,4,0,0, ,1,2,3,4,5,3,4,2,3,2,3,4,5,2,5,4,4,2,5,3,3,3,3,4,4,4,2,2,2,5,4,2,3,5,3,4,3,4,2,3,3,4,3,4,4,4,4.090909091,4.333333333
22,1,0,0, ,1,1,5,1,2,2,5,1,3,2,2,5,3,2,4,4,5,3,5,5,3,5,1,4,5,2,4,5,3,2,4,3,3,3,3,3,1,4,3,4,2,5,2,4,3,2,3.181818182,4
22,4,0,0, ,1,1,5,2,3,2,4,1,4,4,3,5,5,2,4,1,5,3,3,4,2,5,1,3,2,2,5,4,2,3,4,4,2,4,4,4,3,4,3,4,2,4,1,3,2,5,3.363636364,4
28,1,0,0, ,2,2,2,2,5,1,3,5,5,1,5,5,4,1,5,4,5,3,4,1,5,5,5,5,3,4,3,4,1,5,3,5,3,5,5,4,5,5,3,4,3,5,1,5,1,5,3.272727273,4.777777778
28,4,0,0, ,2,2,3,2,4,2,3,3,5,2,4,4,3,1,5,2,3,3,5,4,4,4,5,5,4,2,3,2,1,3,4,4,4,5,3,2,4,5,3,4,5,3,3,3,5,4,3.272727273,4.375
31,1,0,0, ,1,3,4,3,2,4,3,4,5,4,3,5,5,3,3,5,3,3,3,4,4,3,3,4,2,3,3,2,4,2,3,4,3,4,3,3,2,4,4,2,3,4,3,3,4,3,3.727272727,3.888888889
34,1,0,0, ,1,1,3,3,4,1,4,4,5,2,4,5,4,2,5,1,5,3,4,1,2,4,4,4,2,5,3,4,3,4,3,3,2,4,4,4,4,5,2,4,3,4,3,4,2,2,3.636363636,4.111111111
34,4,0,0, ,1,1,2,2,4,1,4,4,4,2,5,5,4,1,5,2,4,3,4,2,2,4,5,5,2,4,4,5,2,4,2,4,2,4,4,4,4,4,2,4,2,5,4,5,1,3,3.454545455,3.777777778
