ifam,ID,Date.2,Date.3,source,StartDate.2,FinishDate.2,StartDate.3,FinishDate.3,family_note,whichParentOut,whyParentOut,EmpCon.2,EmpCon.3,EQSQ_empathy.2,EQSQ_empathy.3
1036,1, , ,0,5/9/2015 18:33:53,5/9/2015 19:10:50,5/9/2015 19:05:02,5/9/2015 19:45:04, ,0, ,1,1.16666666666667,1.2,1.2
1036,4, , ,0,5/9/2015 18:33:53,5/9/2015 19:10:50,5/9/2015 19:05:02,5/9/2015 19:45:04, ,0, ,1,1.16666666666667,1.2,1
1037,1, , ,0,8/17/2015 4:29:32,8/18/2015 14:44:32,6/29/2015 17:44:47, , ,0, ,1,1.83333333333333,1.2,1.8
1037,4, , ,0,8/17/2015 4:29:32,8/18/2015 14:44:32,6/29/2015 17:44:47, , ,0, ,.833333333333333,1.83333333333333,1,1.8
1039,1, , ,0,4/23/2015 17:04:14,4/23/2015 17:49:25,4/23/2015 17:56:38,4/23/2015 19:30:06, ,0, ,1.33333333333333,.833333333333333,1,1
1039,4, , ,0,4/23/2015 17:04:14,4/23/2015 17:49:25,4/23/2015 17:56:38,4/23/2015 19:30:06, ,0, ,1.33333333333333,.833333333333333,1,1
1040,1, , ,0,5/7/2015 13:55:20,6/14/2015 8:27:01,7/4/2015 17:09:06,7/18/2015 19:02:54, ,0, ,.833333333333333,1.33333333333333,1,1.4
1040,4, , ,0,5/7/2015 13:55:20,6/14/2015 8:27:01,7/4/2015 17:09:06,7/18/2015 19:02:54, ,0, ,1.33333333333333,1.33333333333333,1.4,1.4
1041,1, , ,0,5/7/2015 12:29:38,5/7/2015 13:45:56,4/4/2015 9:20:21,4/4/2015 12:04:37, ,0, ,.666666666666667,.333333333333333,.6,.2
1041,4, , ,0,5/7/2015 12:29:38,5/7/2015 13:45:56,4/4/2015 9:20:21,4/4/2015 12:04:37, ,0, ,.833333333333333,.666666666666667,.8,.4
1042,1, , ,0, , ,6/3/2015 14:44:59,6/3/2015 15:26:32, ,0, , ,1.66666666666667, ,1.4
1042,4, , ,0, , ,6/3/2015 14:44:59,6/3/2015 15:26:32, ,0, , ,1.83333333333333, ,1.6
1044,1, , ,0,6/15/2015 17:13:59,6/15/2015 18:05:06,4/6/2015 15:37:41,6/18/2015 5:03:16, ,0, ,1.16666666666667,.5,1,.4
1044,4, , ,0,6/15/2015 17:13:59,6/15/2015 18:05:06,4/6/2015 15:37:41,6/18/2015 5:03:16, ,0, ,1.5,.666666666666667,1.4,.4
1046,1, , ,0,12/15/2015 14:43:02,12/16/2015 5:57:45,12/19/2015 8:17:38,12/19/2015 9:12:08, ,0, ,1.33333333333333,1.33333333333333,1.2,1.4
1046,4, , ,0,12/15/2015 14:43:02,12/16/2015 5:57:45,12/19/2015 8:17:38,12/19/2015 9:12:08, ,0, ,.333333333333333,1.16666666666667,.4,1.2
1047,1, , ,0, , ,10/1/2015 8:52:05,10/1/2015 10:18:07, ,0, , ,1.16666666666667, ,1.2
1047,4, , ,0, , ,10/1/2015 8:52:05,10/1/2015 10:18:07, ,0, , ,1.16666666666667, ,1.2
1048,1, , ,0,4/18/2015 8:20:30,4/22/2015 10:16:55,4/4/2015 13:42:02,4/4/2015 14:36:52, ,0, ,1.66666666666667,1.16666666666667,1.4,1.2
1048,4, , ,0,4/18/2015 8:20:30,4/22/2015 10:16:55,4/4/2015 13:42:02,4/4/2015 14:36:52, ,0, ,1.66666666666667,1,1.4,1
1049,1,4/23/2015,4/22/2015,1, , , , , ,0, ,1.5,.833333333333333,1.4,.6
1049,4,4/23/2015,4/22/2015,1, , , , , ,0, ,1.5,1,1.4,1
