Participant,isOut,AGE,gender,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,EMPQ1,EMPQ2,EMPQ3,EMPQ4,EMPQ5,EMPQ6,EMPQ7,EMPQ8,EMPQ9,EMPQ10,EMPQ11,EMPQ12,EMPQ13,EMPQ14,EMPQ15,EMPQ16,EMPQ17,EMPQ18,EMPQ19,EMPQ20,EMPQ21,EMPQ22,EMPQ23,EMPQ24,EMPQ25,EMPQ26,EmpQ1_Rev,EmpQ6_Rev,EmpQ7_Rev,EmpQ9_Rev,EmpQ10_Rev,EmpQ15_Rev,EmpQ20_Rev,EmpQ22_Rev,EmpQ23_Rev,EmpQ24_Rev,EmpQ25_Rev,EMPQ_emotional,EMPQ_cognitive
89,0,17.69863014,1,5,5,3,2,5,2,3,3,3,4,3,2,5,1,4,4,2,4,2,4,4,5,4,5,4,4,4,3,3,3,3,4,5,4,3,5,5,4,3,3,5,3,5,4,3,4,3,1,5,3,4,3,1,2,1,1,4,1,2,4,1,4,1,5,4,4,5,3,4,2,3,3,2,5,4,4,1,2,1,3,2,2.727272727,2.333333333
90,0,17.7260274,2,4,5,4,2,5,3,4,4,3,4,5,3,5,4,3,3,4,4,4,4,3,2,3,2,5,5,4,5,3,2,5,4,3,2,5,4,3,5,5,4,1,4,2,5,1,5,4,4,5,4,1,3,2,1,5,3,3,5,3,3,4,4,2,2,5,3,1,1,1,4,5,2,5,4,5,3,4,3,5,5,5,4.090909091,4
91,0,17.87671233,2,4,1,5,1,4,4,5,2,5,5,5,1,5,5,5,5,5,1,1,5,2,5,4,4,4,5,3,4,2,4,2,5,5,5,3,5,2,5,2,4,1,5,1,5,2,5,5,3,4,1,2,5,1,1,5,5,4,5,2,5,3,5,4,3,5,1,1,1,1,4,4,5,4,5,5,4,3,5,5,5,5,3.909090909,5
92,0,17.87671233,1,4,3,4,1,4,4,5,3,5,5,4,1,4,2,5,4,4,3,5,4,3,4,2,3,5,3,3,5,1,4,3,4,5,5,4,5,2,5,1,3,3,4,2,3,3,3,3,2,2,3,2,2,3,3,3,2,2,2,2,2,2,3,1,2,3,3,4,3,3,3,3,3,4,3,3,4,4,3,2,3,3,2.727272727,2.555555556
93,0,18.01917808,2,2,2,4,4,5,4,3,2,1,5,2,1,5,4,4,3,3,2,4,5,4,2,4,2,5,4,2,4,4,5,5,5,4,2,3,5,1,4,3,5,4,2,4,5,2,4,4,2,2,2,3,4,4,2,4,4,4,3,2,4,2,4,3,2,4,3,2,1,1,4,4,4,3,2,4,4,4,3,4,5,5,3.272727273,4
94,0,18.09315068,2,4,4,4,1,4,2,5,5,2,3,5,1,5,3,4,4,3,5,2,4,1,2,5,5,2,4,3,3,1,3,4,5,3,3,4,4,3,4,4,4,3,4,5,1,2,4,4,4,4,2,2,4,2,2,2,4,3,4,2,5,4,4,3,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3.818181818,3.888888889
95,0,18.31506849,1,3,3,5,1,4,5,4,1,4,5,3,1,5,2,4,2,4,2,3,4,3,4,2,4,3,3,1,4,1,5,3,4,4,4,4,4,1,4,2,5,1,4,1,5,2,4,5,4,3,1,2,3,2,1,4,4,2,5,2,5,3,5,2,3,4,3,1,1,2,3,4,5,4,4,5,4,3,3,5,5,4,3.454545455,4.777777778
96,0,18.46027397,1,3,2,5,1,3,4,4,2,4,5,4,3,5,2,4,3,5,1,2,5,4,3,3,2,3,4,1,5,1,4,2,4,4,4,2,4,3,3,1,3,2,4,5,3,3,2,5,2,2,1,1,4,3,3,2,3,4,3,4,3,3,3,2,3,3,2,4,2,4,0,3,5,5,3,3,2,3,4,2,4,2,2.818181818,3.333333333
97,0,18.60547945,2,3,2,4,3,4,5,4,2,4,4,3,2,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,2,3,3,4,2,2,2,3,4,2,2,4,4,2,4,2,4,3,4,2,3,4,2,2,2,2,3,3,4,3,4,4,4,3,4,4,4,4,2.818181818,4
98,0,18.93150685,2,3,1,5,1,4,4,5,2,4,4,4,1,5,3,3,3,4,4,5,3,4,4,5,3,3,5,2,5,3,4,4,4,4,4,5,5,2,5,5,4,2,4,4,3,2,1,4,5,3,3,3,4,3,3,5,4,5,3,3,4,4,5,4,3,4,2,2,2,3,4,4,3,3,3,3,3,3,4,4,4,3,3.454545455,4
99,1,20.07671233,2,3,4,5,4,3,5,5,2,3,5,3,2,5,5,3,3,5,2,4,4,3,4,4,2,2,4,4,4,4,4,4,5,4,3,5,3,2,3,3,5,2,3,3,4,2,4,5,4,4,3,2,5,2,1,4,3,4,3,2,4,4,4,3,2,4,2,2,2,2,4,4,3,4,4,5,4,4,4,4,4,4,4,3.777777778
