Participant,isOut,AGE,gender,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,EMPQ1,EMPQ2,EMPQ3,EMPQ4,EMPQ5,EMPQ6,EMPQ7,EMPQ8,EMPQ9,EMPQ10,EMPQ11,EMPQ12,EMPQ13,EMPQ14,EMPQ15,EMPQ16,EMPQ17,EMPQ18,EMPQ19,EMPQ20,EMPQ21,EMPQ22,EMPQ23,EMPQ24,EMPQ25,EMPQ26,EmpQ1_Rev,EmpQ6_Rev,EmpQ7_Rev,EmpQ9_Rev,EmpQ10_Rev,EmpQ15_Rev,EmpQ20_Rev,EmpQ22_Rev,EmpQ23_Rev,EmpQ24_Rev,EmpQ25_Rev,EMPQ_emotional,EMPQ_cognitive
37,0,14.95342466,1,3,3,4,1,5,2,4,3,4,5,3,3,5,1,5,4,5,2,2,5,3,4,2,5,5,4,2,4,2,3,3,3,5,5,1,4,3,5,4,5,5,4,2,1,5,2,5,1,2,5,2,3,3,5,3,4,1,2,4,4,1,5,2,5,4,3,3,2,2,3,1,1,4,3,1,2,1,3,3,4,4,1.636363636,3.444444444
38,0,14.96986301,2,4,4,3,2,3,2,1,1,2,5,3,3,4,5,3,3,1,2,5,4,2,4,3,2,2,4,4,3,4,5,3,3,3,2,2,4,2,3,4,4,2,3,2,3,4,4,4,5,4,2,1,3,2,2,4,4,5,5,1,4,2,4,3,2,5,2,2,1,1,4,2,4,5,4,4,5,4,4,4,5,5,3.909090909,4.222222222
39,0,14.9890411,1,3,3,3,3,3,3,4,4,3,3,3,2,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40,0,15.03287671,1,1,2,3,2,4,4,4,4,4,5,3,2,4,3,5,3,4,4,3,4,4,4,4,4,4,3,4,5,3,1,4,4,4,5,4,4,3,3,3,4,5,4,2,1,3,4,4,2,2,3,3,4,2,3,3,2,3,3,3,4,3,4,2,3,3,4,4,2,4,3,3,3,3,4,3,3,3,2,2,4,2,2.818181818,3.222222222
41,0,15.43287671,1,3,4,4,2,3,5,5,2,4,5,3,1,5,5,3,1,5,5,5,4,5,5,3,2,3,3,4,3,5,4,5,5,4,4,3,4,3,2,1,5,1,4,2,4,1,5,5,5,5,2,1,5,2,1,5,5,5,5,1,5,4,5,5,1,5,2,1,2,1,5,5,4,5,4,5,5,5,4,5,4,5,4.909090909,4.777777778
42,0,15.43287671,1,4,2,4,1,4,3,5,1,3,4,5,1,5,2,3,4,3,4,3,4,2,4,3,4,4,3,1,3,2,1,2,3,4,4,4,4,2,3,3,4,4,4,4,1,2,2,4,2,2,2,3,3,3,3,3,2,1,1,4,3,1,3,3,3,3,3,2,2,3,1,4,4,3,3,3,2,3,3,4,4,3,2.363636364,3.111111111
43,0,15.4630137,2,3,2,4,1,4,4,4,2,2,4,4,2,4,5,4,4,4,1,5,3,5,4,4,4,4,3,3,4,3,4,5,4,4,3,4,4,3,4,3,3,4,4,3,4,2,4,4,4,4,3,2,4,3,2,4,4,4,4,2,4,4,4,4,3,4,2,2,2,4,4,4,3,4,3,4,4,3,4,4,4,2,3.909090909,3.888888889
44,0,15.50136986,2,4,3,3,1,5,3,4,4,3,4,4,3,4,3,3,4,4,4,3,5,2,4,2,1,4,2,2,3,2,4,4,5,3,4,2,4,4,3,3,5,2,4,4,4,2,4,4,4,5,2,1,5,1,1,4,4,5,4,2,4,3,4,4,2,4,2,2,2,2,5,4,4,5,5,5,4,4,4,4,4,4,4.272727273,4
45,0,15.50136986,2,4,4,3,2,3,3,4,4,3,3,3,2,3,3,3,3,4,3,2,3,3,4,4,4,3,3,3,3,4,4,4,4,3,3,3,4,2,3,3,4,3,3,4,3,2,4,4,4,4,3,2,3,2,2,4,4,4,4,3,4,3,4,3,2,4,3,2,2,3,4,4,3,4,4,4,3,4,3,4,4,3,3.727272727,3.888888889
46,0,15.54246575,2,4,4,4,2,4,3,3,2,5,5,5,3,5,4,5,3,2,2,2,3,3,1,3,4,3,5,5,4,3,4,3,3,4,5,5,3,4,4,5,4,2,3,3,3,3,2,5,2,1,4,4,2,3,4,2,4,3,2,4,4,2,4,1,3,2,4,3,1,4,3,3,2,2,3,2,2,3,2,3,5,2,2.090909091,3.444444444
47,0,15.5890411,1,4,4,5,3,4,4,5,3,5,5,2,4,5,5,4,2,2,5,5,4,5,5,4,4,4,4,5,5,4,3,4,4,5,5,5,4,4,3,5,3,4,4,5,3,2,4,4,1,4,2,4,4,4,2,3,3,1,4,3,4,2,3,3,2,4,2,2,2,1,5,4,4,2,2,4,3,4,4,4,4,5,2.909090909,3.666666667
48,0,15.67671233,2,4,1,5,2,4,3,5,2,4,4,5,1,5,4,5,4,5,1,5,5,3,4,3,2,3,4,4,5,3,5,4,5,4,3,4,5,2,5,3,4,3,5,2,3,5,5,5,4,4,4,2,3,1,1,4,3,5,5,3,5,4,5,4,1,5,1,1,2,1,5,1,2,4,5,5,3,5,5,5,4,5,4,4.222222222
49,0,15.78630137,2,4,3,3,3,1,3,5,4,4,4,5,5,5,5,4,5,3,2,5,4,5,5,5,2,4,5,4,2,4,5,5,5,3,4,4,5,2,3,5,4,4,5,5,5,2,4,5,4,4,3,1,4,3,2,5,4,5,4,3,5,2,5,4,2,5,3,2,1,1,5,4,3,5,3,4,3,4,3,4,5,5,3.909090909,4.444444444
50,0,15.80273973,2,2,2,3,1,5,4,4,2,3,3,2,1,4,4,5,5,4,4,3,3,3,4,4,4,4,4,4,3,2,5,3,4,4,4,2,4,1,3,2,4,1,4,4,4,3,3,4,4,4,2,2,2,1,1,3,4,3,3,2,4,4,4,4,2,4,2,2,2,2,4,3,4,4,5,5,4,4,4,4,4,4,3.818181818,3.777777778
51,0,15.85753425,1,4,3,4,1,4,3,4,3,3,4,4,1,5,1,4,3,4,3,3,4,1,3,3,3,3,4,1,4,1,3,1,4,4,4,3,4,4,5,3,3,4,3,1,1,4,3,4,1,1,3,4,3,4,4,3,4,1,4,3,5,1,4,1,4,3,4,1,1,3,3,2,3,2,2,2,3,2,2,5,5,3,1.727272727,4.111111111
52,0,15.89315068,1,3,1,5,1,5,5,5,1,4,5,5,1,5,3,5,5,5,1,3,5,3,5,1,3,5,5,1,5,1,5,3,5,5,3,3,5,1,5,1,4,1,5,1,5,3,3,4,1,2,1,1,3,1,1,5,3,3,3,2,5,3,3,3,1,4,4,1,1,1,4,3,5,5,5,5,4,5,2,5,5,5,3.363636364,4.222222222
53,0,15.92054795,1,3,4,2,1,4,3,3,4,2,4,3,4,4,3,4,3,2,4,3,5,3,4,4,3,4,4,3,2,4,4,2,4,4,3,4,4,3,3,4,4,3,4,4,5,2,3,4,3,2,2,3,4,4,3,3,3,2,4,2,4,2,4,3,2,3,3,2,2,3,3,4,4,3,2,3,4,4,3,4,4,3,3,3.777777778
54,0,15.97260274,2,5,3,4,1,4,3,4,3,4,4,4,2,4,3,5,5,4,2,3,4,2,4,4,3,3,4,4,4,3,4,3,4,4,3,5,5,2,5,3,4,4,5,4,5,3,4,4,4,3,4,3,3,3,3,3,4,4,4,2,5,3,4,3,3,3,2,2,2,2,3,3,2,3,3,3,4,3,4,4,4,4,3.363636364,3.777777778
55,0,16.0109589,2,2,3,4,3,4,3,5,2,4,4,5,1,5,5,3,4,5,4,3,3,4,5,4,1,3,4,1,4,4,5,4,5,4,3,3,5,1,3,1,3,1,5,2,5,1,4,5,4,4,2,2,3,2,1,5,4,5,4,2,5,3,5,3,1,4,2,1,1,3,4,5,4,4,4,5,4,5,4,5,5,3,4.181818182,4.666666667
56,0,16.02739726,1,4,3,4,1,4,4,4,2,4,3,5,2,1,2,4,4,3,2,4,4,3,4,2,3,4,3,2,3,3,3,5,4,4,2,3,5,5,3,1,3,3,4,4,4,3,3,4,2,4,3,3,3,4,3,4,3,2,3,4,2,4,3,2,2,2,4,2,4,2,1,3,3,3,2,3,2,4,2,4,2,4,2.909090909,3.111111111
57,0,16.04109589,1,4,4,5,4,3,3,3,4,3,5,3,2,4,3,3,3,4,5,4,4,3,3,4,3,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,5,1,2,3,5,3,3,4,3,3,3,4,3,4,3,4,3,3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2.909090909,3.444444444
58,0,16.08767123,2,1,1,4,2,3,4,5,3,4,4,4,1,5,5,4,3,3,2,3,3,4,4,2,2,4,2,3,5,5,3,5,5,5,4,1,4,1,4,2,5,2,5,2,5,1,5,5,3,4,2,2,4,2,1,4,4,3,3,2,4,5,4,4,2,5,2,1,2,5,5,5,4,4,4,5,4,4,4,5,4,1,4.181818182,4.111111111
59,0,16.12328767,2,3,1,5,1,3,4,5,2,4,5,3,1,5,3,3,3,5,1,5,4,5,4,1,3,3,2,3,3,4,3,4,5,4,3,4,3,1,3,4,4,3,3,2,5,2,4,4,3,4,3,1,3,1,1,3,3,4,4,2,4,3,3,3,2,5,3,2,2,2,4,4,3,5,5,5,4,4,3,4,4,4,3.909090909,3.555555556
60,0,16.1890411,2,5,3,4,1,5,3,4,4,3,4,5,2,5,4,5,5,5,2,4,5,1,5,2,3,5,5,1,5,2,5,2,5,5,3,5,5,3,5,3,5,4,5,2,4,1,3,5,5,3,1,1,2,2,2,5,5,5,5,2,5,2,5,3,3,5,5,1,1,1,4,5,5,5,4,4,4,3,1,5,5,5,3.818181818,5
61,0,16.1890411,2,5,2,4,2,4,3,4,3,4,4,4,3,4,4,3,4,3,2,2,4,2,4,3,3,4,5,3,4,2,4,3,3,5,5,4,5,4,5,3,4,5,3,4,5,3,4,5,4,5,3,2,2,4,2,4,4,3,4,2,4,4,5,3,2,4,4,1,1,2,4,3,3,4,2,4,4,4,2,5,5,4,3.818181818,4.333333333
62,0,16.23561644,2,2,1,4,2,2,3,5,2,3,2,3,1,5,4,4,2,5,3,2,2,4,4,4,2,2,4,4,3,3,4,5,5,4,3,0,4,1,2,2,2,5,5,4,4,2,4,5,1,2,2,1,2,1,2,4,5,1,4,1,5,0,5,2,3,3,0,1,1,2,1,4,4,5,5,4,5,3, ,5,5,4,3.1,4.666666667
63,0,16.25479452,2,2,3,4,2,3,4,4,3,2,3,3,4,4,5,4,4,3,2,4,2,5,5,2,2,2,4,3,4,2,3,5,4,4,1,4,4,3,4,4,3,4,4,4,2,4,4,4,3,4,2,2,4,2,2,4,4,4,4,2,4,4,4,4,2,4,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,3.727272727,4
64,0,16.25479452,2,2,3,5,1,2,4,5,3,2,2,3,3,4,4,4,4,3,2,3,3,5,5,2,3,2,4,3,4,3,2,5,4,3,1,4,4,3,4,4,3,4,3,4,1,2,4,4,2,4,2,2,4,2,2,4,4,4,4,2,4,3,4,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3.727272727,4
65,0,16.32876712,2,5,2,4,2,4,3,4,2,3,4,4,2,5,4,3,4,4,2,4,4,2,4,2,2,4,4,2,4,3,4,3,4,4,2,3,4,2,3,2,4,2,4,3,4,2,4,2,4,4,2,2,3,2,2,4,4,4,4,2,4,3,4,4,2,4,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,4,3.909090909,3.777777778
66,0,16.36438356,2,2,3,5,1,4,4,3,4,4,5,3,1,5,3,4,2,2,4,3,4,5,3,5,5,4,2,5,4,3,5,4,3,3,4,3,3,4,2,3,4,1,2,3,3,2,3,3,4,2,2,1,3,4,3,2,4,5,4,2,4,1,4,1,3,2,3,2,1,4,2,4,4,5,2,3,4,3,3,4,5,2,3.181818182,3.777777778
67,0,16.45479452,2,4,5,4,2,4,3,5,2,5,5,5,1,5,5,4,4,5,3,4,5,2,5,3,2,4,5,4,4,5,4,2,5,4,5,1,5,5,3,5,3,1,4,3,4,4,2,5,1,4,1,2,5,3,2,3,4,5,4,3,4,4,4,2,5,5,5,2,2,2,4,2,5,4,3,4,3,1,1,4,4,4,2.909090909,4.111111111
68,0,16.56986301,2,2,2,4,1,3,4,5,3,3,5,4,2,5,4,3,4,4,3,4,4,5,4,3,3,4,5,3,4,2,4,5,4,4,3,4,5,2,3,4,4,4,4,5,2,4,3,4,4,4,2,4,4,2,4,4,2,4,4,4,4,2,4,4,4,4,3,4,2,4,4,2,4,2,4,2,2,2,3,2,4,2,2.818181818,3.555555556
