ifam,ID,OnlineManual,isOut,whyOut,sex,Age,zygosity,el_BFI1,el_BFI2,el_BFI3,el_BFI4,el_BFI5,el_BFI6,el_BFI7,el_BFI8,el_BFI9,el_BFI10,el_BFI11,el_BFI12,el_BFI13,el_BFI14,el_BFI15,el_BFI16,el_BFI17,el_BFI18,el_BFI19,el_BFI20,el_BFI21,el_BFI22,el_BFI23,el_BFI24,el_BFI25,el_BFI26,el_BFI27,el_BFI28,el_BFI29,el_BFI30,el_BFI31,el_BFI32,el_BFI33,el_BFI34,el_BFI35,el_BFI36,el_BFI37,el_BFI38,el_BFI39,el_BFI40,el_BFI41,el_BFI42,el_BFI43,el_BFI44,el_BFI6_Rev,el_BFI21_Rev,el_BFI31_Rev,el_BFI2_Rev,el_BFI12_Rev,el_BFI27_Rev,el_BFI37_Rev,el_BFI8_Rev,el_BFI18_Rev,el_BFI23_Rev,el_BFI43_Rev,el_BFI9_Rev,el_BFI24_Rev,el_BFI34_Rev,el_BFI35_Rev,el_BFI41_Rev,EMPQ_emotional,EMPQ_cognitive
43,4,0,0, ,1,11.11715843,1,5,1,4,1,5,4,5,1,5,5,5,1,5,3,5,5,5,1,4,5,2,5,1,5,5,5,1,5,1,5,3,5,5,5,5,5,1,4,1,5,3,4,1,5,2,4,3,5,5,5,5,5,5,5,5,1,1,1,1,3,2.818181818,3.666666667
45,1,0,0, ,2,11.12574936,1,3,2,4,1,5,1,4,3,3,5,5,4,4,3,4,3,3,5,2,5,1,2,1,5,4,5,2,4,4,2,1,4,5,5,1,4,5,4, ,5,3,2,2,4,5,5,5,4,2,4,1,3,1,5,4,3,1,1,5,3,2.636363636,3.666666667
45,4,0,0, ,2,11.12293527,1,5,2,4,1,5,1,4,4,2,5,5,2,5,2,4,4,4,5,4,5,1,4,1,4,4,5,1,5,1,4,1,4,5,4,1,5,2,4,4,4,1,5,5,4,5,5,5,4,4,5,4,2,1,5,1,4,2,2,5,5, , 
46,1,0,0, ,1,11.67868235,2,4,4,4,2,2,3,3,4,4,5,5,2,5,4,4,4,3,1,5,3,2,4,3,2,4,4,3,5,4,4,4,4,5,2,5,5,4,3,3,5,2,2,4,3,3,4,2,2,4,3,2,2,5,3,2,2,4,4,1,4,3.636363636,3.666666667
46,4,0,0, ,1,11.6807249,2,4,1,3,1,4,3,2,3,2,5,4,3,3,3,5,3,3,4,3,5,1,4,4,3,3,2,2,3,2,4,2,3,3,2,3,5,4,3,5,4,5,4,3,5,3,5,4,5,3,4,2,3,2,2,3,4,3,4,3,1,3.181818182,4.333333333
47,1,0,0, ,2,11.17524409,3,5,1,5,1,2,1,5,1,2,5,4,1,5,5,1,4,4,1,5,5,1,4,2,1,2,5,1,5,2,5,4,5,5,1,5,5,1,4,4,4,1,5,1,4,5,5,2,5,5,5,5,5,5,4,5,4,5,5,1,5,3.181818182,4.555555556
47,4,0,0, ,1,11.47805711,3,2,1,4,1,5,4,5,5,4,5,5,3,5,5,3,5,5,2,5,5,3,5,3,3,5,4,1,5,1,5,5,5,4,5,5,5,3,5,5,5,5,5,1,3,2,3,1,5,3,5,3,1,4,3,5,2,3,1,1,1,2.909090909,3.777777778
48,1,0,0, ,2,11.34785285,2,4,3,4,1,5,4,4,3,4,5,5,1,5,2,5,5,5,4,1,5,2,5,1,5,5,5,1,5,1,5,2,5,5,5,4,5,1,5,1,4,5,5,1,5,2,4,4,3,5,5,5,3,2,5,5,2,1,1,2,1, , 
48,4,0,0, ,2,11.3475251,2,5,3,3,1,5,3,2,4,1,5,5,1,4,4,4,5,4,5,2,5,2,4,5,5,5,3,4,2,5,5,4,4,4,4,1,5,2,2,5,5,1,5,4,5,3,4,2,3,5,2,4,2,1,1,2,5,1,2,5,5, , 
49,1,0,0, ,1,11.38801991,3,3,3,3,1,5,2,3,4,4,5,5,4,4,4,2,3,3,4,3,4,2,4,3,3,3,4,1,2,3,4,3,2,3,2,2,3,3,3,4,4,3,4,5,2,4,4,3,3,2,5,3,2,2,3,1,2,3,4,4,3, , 
49,4,0,0, ,2,11.38792459,3,4,2,5,1,4,3,4,4,3,4,5,3,5,3,3,4,4,3,4,5,4,4,1,3,3,4,1,3,4,5,2,5,4,4,1,5,4,4,3,5,4,5,5,2,3,2,4,4,3,5,2,2,3,5,1,3,3,2,5,2, , 
51,1,0,0, ,2,11.12034112,2,5,2,3,1,4,2,5,3,2,5,5,1,4,4,5,5,4,1,4,4,2,4,2,3,4,4,1,4,1,5,3,4,4,4,3,4,2,3,1,4,4,4,5,4,4,4,3,4,5,5,4,3,5,4,1,4,3,2,3,2,4,4.222222222
51,4,0,0, ,2,11.120262,2,2,2,4,3,3,4,4,3,4,3,4,2,4,4,4,3,2,2,4,3,3,3,2,4,3,3,4,4,4,4,4,3,3,2,3,3,3,3,2,4,3,3,2,3,2,3,2,4,4,2,3,3,4,4,4,2,2,4,3,3,3.636363636,3.888888889
52,1,0,0, ,2,11.18208638,2,3,5,5,1,2,4,1,1,2,4,3,5,5,1,5,2,1,4,1,1,4,1,5,5,3,2,1,5,1,5,4,2,4,5,2,2,4,5,5,2,1,3,5,5,2,2,2,1,1,5,2,5,2,1,1,4,1,1,4,5,2.090909091,3.666666667
