ifam,ID,OnlineManual,isOut,whyOut,sex,Age,zygosity,el_BFI1,el_BFI2,el_BFI3,el_BFI4,el_BFI5,el_BFI6,el_BFI7,el_BFI8,el_BFI9,el_BFI10,el_BFI11,el_BFI12,el_BFI13,el_BFI14,el_BFI15,el_BFI16,el_BFI17,el_BFI18,el_BFI19,el_BFI20,el_BFI21,el_BFI22,el_BFI23,el_BFI24,el_BFI25,el_BFI26,el_BFI27,el_BFI28,el_BFI29,el_BFI30,el_BFI31,el_BFI32,el_BFI33,el_BFI34,el_BFI35,el_BFI36,el_BFI37,el_BFI38,el_BFI39,el_BFI40,el_BFI41,el_BFI42,el_BFI43,el_BFI44,el_BFI6_Rev,el_BFI21_Rev,el_BFI31_Rev,el_BFI2_Rev,el_BFI12_Rev,el_BFI27_Rev,el_BFI37_Rev,el_BFI8_Rev,el_BFI18_Rev,el_BFI23_Rev,el_BFI43_Rev,el_BFI9_Rev,el_BFI24_Rev,el_BFI34_Rev,el_BFI35_Rev,el_BFI41_Rev,EMPQ_emotional,EMPQ_cognitive
24,4,0,0, ,2,11.42078818,3,3,2,4,1,4,2,3,2,3,4,4,2,4,2,3,4,3,2,2,4,1,3,3,2,4,3,2,4,4,4,3,3,4,3,4,5,2,4,3,4,2,4,2,4,4,5,3,4,4,4,4,4,4,3,4,3,4,3,2,4, , 
26,1,1,0, ,1,11.55646817,1,3,1,4,1,3,5,3,5,4,3,2,1,1,4,3,2,4,1,3,4,2,3,1,3,4,1,2,4,5,3,3,4,4,3,4,4,3,4,2,3,1,5,4,3,1,4,3,5,5,4,3,1,5,5,2,2,3,3,2,5, , 
26,4,1,0, ,1,11.55646817,1,3,3,3,1,3,4,3,2,3,4,4,3,4,3,3,3,4,2,2,3,2,3,3,3,2,4,2,3,2,4,2,3,3,3,3,4,3,4,4,4,2,4,3,3,2,4,4,3,3,4,3,4,4,3,3,3,3,3,3,4, , 
27,1,0,0, ,1,11.45323678,2,3,4,4,1,5,4,4,4,5,4,3,4,5,5,4,4,4,3,4,4,3,4,3,4,4,5,3,4,3,4,4,4,4,5,2,5,5,4,3,3,4,4,4,5,2,3,2,2,2,3,1,2,3,3,2,1,2,1,4,2,3.909090909,4.444444444
27,4,0,0, ,1,11.45336889,2,4,4,3,2,3,3,2,4,3,4,4,4,4,2,3,4,3,4,4,4,2,3,3,4,3,4,4,3,4,3,4,3,3,3,3,4,4,3,3,4,2,3,3,3,3,4,2,2,2,2,2,2,2,3,3,3,2,3,3,4,3.090909091,3.666666667
28,1,0,0, ,2,11.45966972,2,2,5,5,1,5,5,5,2,5,5,5,1,5,5,5,4,5,1,5,5,4,5,3,5,5,5,1,5,3,5,1,5,5,3,5,5,1,5,2,5,1,5,1,5,1,2,5,1,5,5,5,4,5,3,5,1,1,3,1,5,3.363636364,4.333333333
28,4,0,0, ,2,11.49725347,2,4,4,3,3,3,4,4,4,2,3,4,2,5,4,3,3,4,1,5,5,4,4,3,3,3,2,4,3,4,3,4,5,3,3,3,5,3,2,3,3,3,4,4,4,2,2,2,2,4,2,3,2,5,3,2,4,3,3,3,3,3.272727273,3.666666667
31,1,0,0, ,1,11.30960666,3,3,4,4,2,4,5,5,5,4,4,4,4,5,4,4,3,4,4,2,4,4,4,3,4,4,4,3,4,3,4,3,4, ,3,3,5,4,3,4,4,3,4,4,5,1,2,3,2,2,3,2,1,2,3,2,2,2,3,3,3, , 
31,4,0,0, ,2,11.32782277,3,4,1,5,1,5,3,5,1,2,5,4,1,5,5,3,4,4,1,5,5,3,5,2,1,5,5,3,5,4,5,5,4,5,3,3,5,4,5,2,1,1,5,1,5,3,3,1,5,5,3,2,5,5,4,5,4,5,3,3,5,4.181818182,4.333333333
34,1,0,0, ,1,11.36545789,1,3,2,4,2,3,4,4,4,3,4,4,3,4,3,3,3,4,4,3,4,4,3,2,3,3,3,2,3,4,3,3,3,3,2,3,3,3,3,4,4,3,4,3,2,2,2,3,4,3,4,3,2,2,4,3,3,3,4,3,3, , 
34,4,0,0, ,1,11.37662785,1,3,2,4,1,4,4,3,3,3,4,4,2,4,3,4,3,3,3,2,4,4,4,3,3,3,4,2,3,2,3,2,3,4,3,5,4,3,3,3,4,3,4,3,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,1,3, , 
35,1,0,1,1,2,11.13602058,1,2,1,5,1,3,5,5,2,4,4,4,1,5,5,4,3,5,1,5,5,5,5,1,3,4,3,1,5,1,5,5,5,5,4,5,5,1,4,4,4,2,5,1,4,1,1,1,5,5,5,5,4,5,5,5,2,3,2,1,4,2.909090909,2.888888889
35,4,0,1,1,2,11.17221234,1,1,1,5,3,3,5,5,1,3,3,1,1,5,4,3,2,3,1,3,5,5,5,4, ,1,1,5,5,3,3,5,5,5,1,5,5,1,3,4,4,1,4,3,1,1,1,1,5,5,1,5,5,5,2,3,3, ,5,1,5,2.636363636,3.111111111
36,1,0,0, ,1,10.96910224,2,4,4,5,2,5,3,3,4,2,5,5,3,5,5,3,4,4,1,4,5,3,3,1,5,5,4,4,4,3,5,3,4,5,3,5,4,5,5,4,5,1,4,4,5,3,3,3,2,3,2,1,2,5,5,2,4,1,3,1,5,3.5,4.222222222
36,4,0,0, ,1,10.9660099,2,5,5,3,1,4,3,3,5,3,5,5,1,5,3,4,5,3,3,3,5,3, , , , , , , , , ,3,4,3,3,4,5,4,5,4,4,5,5,3,5,3,3,3,1,5, ,2,1,3, ,3,3, ,3,2,1,1.545454545,4.222222222
37,1,0,0, ,1,11.14675029,1,4,2,4,1,4,2,2,3,3,4,4,3,4,4,4,3,3,2,4,2,2,4,2,3,4,3,3,4,4,3,4,5,4,2,3,4,4,4,3,4,2,4,4,4,4,4,2,4,3,3,2,3,4,4,2,3,3,4,3,4,3.363636364,3.666666667
37,4,0,0, ,1,11.14662335,1,3,1,4,2,5,4,4,3,3,4,4,1,5,4,4,3,4,1,4,3,3,3,1,4,4,3,1,4,3,4,2,4,4,2,4,4,3,4,3,3,2,5,2,3,2,3,4,5,5,5,3,3,5,5,4,3,2,4,2,4,3,3.777777778
38,1,0,0, ,2,11.28924199,2,3,2,5,1,5,4,3,1,5,5,3,1,5,3,5,3,4,5,4,5,3,4,1,1,4,5,4,5,3,4,5,4,5,1,3,3,3,4,3,5,1,1,4,5,2,3,1,4,5,2,3,5,1,5,2,1,5,5,3,5,4.363636364,4.333333333
38,4,0,0, ,2,11.28997091,2,4,3,4,1,4,3,3,4,4,5,4,2,3,2,4,3,5,1,2,3,3,4,2,4,3,3,2,4,3,5,3,3,4,4,3,5,4,3,4,4,5,4,3,5,3,3,3,3,4,4,2,2,5,4,3,2,2,2,3,1,3.090909091,3.666666667
40,1,0,0, ,1,11.11471402,1,3,3,3,3,3,3,3,4,2,5,5,3,3,3,3,4,4,3,3,5,2,2,5,3,3,3,3,3,2,4,3,3,3,2,2,4,4,3,3,4,1,5,3,4,3,4,3,3,3,3,2,2,3,1,3,4,3,4,4,5,2.818181818,3.111111111
40,4,0,0, ,1,11.11478154,1,3,2,4,1,4,3,4,1,4,3,5,1,4,4,4,4,5,1,4,4,4,5,1,4,4,4,1,5,3,4,4,4,4,4,3,5,2,4,2,4,1,5,2,4,3,2,2,4,5,5,4,5,5,5,4,2,2,2,3,5,4.3,5
42,1,0,0, ,1,11.08403836,2,4,1,4,1,5,5,5,3,5,5,5,2,5,3,4,5,4,3,2,3,2,5,3,4,5,5,1,4,2,3,1,3,4,4,4,5,2,4,2,1, ,4,4,1,1,4,5,5,4,5,4,3,3,3,2,1,2,2,2, , , 
42,4,0,0, ,1,11.08426449,2,4,3,4,1,5,2,4,2,4,4,5,3,5,1,5,4,4,4,1,5,3,5,2,4,5,5,1,4,3,3,1,5,4,3,2,5,3,5,5,1,2,4,3,4,4,3,5,3,3,5,3,4,2,4,3,2,2,3,4,4, , 
43,1,0,0, ,1,11.10276903,1,3,2,4,2,5,4,5,4,4,5,5,1,5,1,5,5,5,1,5,5,4,5,1,5,5,5,4,5,2,4,3,4,5,4,5,5,2,5,4,4,5,5,2,3,2,2,3,4,5,2,4,2,5,5,4,2,1,2,1,1,3.181818182,3.666666667
